DT_brakePressure,Timestamp,Action,Bump,Traffic congestion
-0.03,1569295085695.0,1,0,0
-0.03,1569295086156.0,1,0,0
-0.03,1569295086615.0,1,0,0
-0.03,1569295087076.0,1,0,0
-0.03,1569295087535.0,1,0,0
-0.03,1569295088012.0,1,0,0
-0.03,1569295088457.0,1,0,0
-0.03,1569295088915.0,1,0,0
-0.03,1569295089375.0,1,0,0
-0.03,1569295089835.0,1,0,0
-0.03,1569295090296.0,1,0,0
-0.03,1569295090756.0,1,0,0
-0.03,1569295091215.0,1,0,0
-0.03,1569295091675.0,1,0,0
-0.03,1569295092125.0,1,0,0
-0.03,1569295092596.0,1,0,0
-0.03,1569295093056.0,1,0,0
-0.03,1569295093515.0,1,0,0
-0.03,1569295093975.0,1,0,0
-0.03,1569295094435.0,1,0,0
-0.03,1569295094886.0,1,0,0
-0.03,1569295095346.0,1,0,0
-0.03,1569295095805.0,1,0,0
-0.03,1569295096266.0,1,0,0
-0.03,1569295096725.0,1,0,0
-0.03,1569295097186.0,1,0,0
-0.03,1569295097645.0,1,0,0
-0.03,1569295098105.0,1,0,0
-0.03,1569295098566.0,1,0,0
-0.03,1569295099025.0,1,0,0
-0.03,1569295099505.0,1,0,0
-0.03,1569295099965.0,1,0,0
-0.03,1569295100425.0,1,0,0
-0.03,1569295100886.0,1,0,0
-0.03,1569295101346.0,1,0,0
-0.03,1569295101795.0,1,0,0
-0.03,1569295102256.0,1,0,0
-0.03,1569295102715.0,1,0,0
-0.03,1569295103176.0,1,0,0
-0.03,1569295103646.0,1,0,0
-0.03,1569295104105.0,1,0,0
-0.03,1569295104577.0,1,0,0
-0.03,1569295105034.0,1,0,0
-0.03,1569295105495.0,1,0,0
-0.03,1569295105956.0,1,0,0
-0.03,1569295106415.0,1,0,0
-0.03,1569295106875.0,1,0,0
-0.03,1569295107326.0,1,0,0
-0.03,1569295107785.0,1,0,0
-0.03,1569295108255.0,1,0,0
-0.03,1569295108715.0,1,0,0
-0.03,1569295109175.0,1,0,0
-0.03,1569295109635.0,1,0,0
-0.03,1569295110095.0,1,0,0
-0.03,1569295110556.0,1,0,0
-0.03,1569295111015.0,1,0,0
-0.03,1569295111476.0,1,0,0
-0.03,1569295111937.0,1,0,0
-0.03,1569295112396.0,1,0,0
-0.03,1569295112855.0,1,0,0
-0.03,1569295113315.0,1,0,0
-0.03,1569295113775.0,1,0,0
-0.03,1569295114225.0,1,0,0
-0.03,1569295114685.0,8,0,0
-0.03,1569295115145.0,8,0,0
-0.03,1569295115605.0,8,0,0
-0.03,1569295116065.0,8,0,0
-0.03,1569295116526.0,8,0,0
-0.03,1569295116985.0,8,0,0
-0.03,1569295117445.0,8,0,0
-0.03,1569295117906.0,8,0,0
-0.03,1569295118365.0,8,0,0
-0.03,1569295118816.0,8,0,0
-0.03,1569295119276.0,8,0,0
-0.03,1569295119745.0,8,0,0
-0.03,1569295120206.0,8,0,0
-0.03,1569295120675.0,8,0,0
-0.03,1569295121126.0,8,0,0
-0.03,1569295121585.0,8,0,0
-0.03,1569295122045.0,8,0,0
-0.03,1569295122495.0,8,0,0
-0.03,1569295122956.0,8,0,0
-0.03,1569295123425.0,8,0,0
-0.03,1569295123885.0,8,0,0
-0.03,1569295124355.0,8,0,0
-0.03,1569295124815.0,8,0,0
-0.03,1569295125275.0,8,0,0
-0.03,1569295125746.0,1,0,0
-0.03,1569295126207.0,1,0,0
-0.03,1569295126665.0,1,0,0
-0.03,1569295127136.0,1,0,0
-0.03,1569295127595.0,1,0,0
-0.03,1569295128045.0,1,0,0
-0.03,1569295128505.0,1,0,0
-0.03,1569295128966.0,1,0,0
-0.03,1569295129436.0,1,0,0
-0.03,1569295129896.0,1,0,0
-0.03,1569295130355.0,1,0,0
-0.03,1569295130816.0,1,0,0
-0.03,1569295131276.0,1,0,0
-0.03,1569295131746.0,1,0,0
-0.03,1569295132206.0,1,0,0
-0.03,1569295132665.0,1,0,0
-0.03,1569295133125.0,1,0,0
-0.03,1569295133594.0,1,0,0
-0.03,1569295134046.0,1,0,0
-0.03,1569295134512.0,1,0,0
-0.03,1569295134966.0,1,0,0
-0.03,1569295135426.0,1,0,0
-0.03,1569295135886.0,1,0,0
-0.03,1569295136346.0,1,0,0
-0.03,1569295136805.0,1,0,0
-0.03,1569295137266.0,1,0,0
-0.03,1569295137736.0,1,0,0
-0.03,1569295138196.0,1,0,0
-0.03,1569295138656.0,1,0,0
-0.03,1569295139115.0,1,0,0
-0.03,1569295139598.0,1,0,0
-0.03,1569295140046.0,1,0,0
-0.03,1569295140527.0,1,0,0
-0.03,1569295140986.0,1,0,0
-0.03,1569295141456.0,1,0,0
-0.03,1569295141915.0,1,0,0
-0.03,1569295142376.0,1,0,0
-0.03,1569295142825.0,1,0,0
0.06,1569295143285.0,1,0,0
0.03,1569295143745.0,1,0,0
0.03,1569295144205.0,1,0,0
0.03,1569295144675.0,1,0,0
0.03,1569295145136.0,1,0,0
-0.03,1569295145595.0,1,0,0
-0.03,1569295146055.0,8,0,0
-0.03,1569295146516.0,8,0,0
-0.03,1569295146975.0,8,0,0
-0.03,1569295147435.0,8,0,0
-0.03,1569295147896.0,8,0,0
-0.03,1569295148356.0,8,0,0
0.42,1569295148815.0,8,0,0
1.74,1569295149278.0,8,0,0
1.71,1569295149735.0,8,0,0
1.74,1569295150186.0,8,0,0
1.08,1569295150655.0,8,0,0
0.21,1569295151116.0,8,0,0
0.15,1569295151576.0,8,0,0
-0.03,1569295152026.0,8,0,0
-0.03,1569295152495.0,5,0,0
-0.03,1569295152946.0,5,0,0
-0.03,1569295153415.0,5,0,0
-0.03,1569295153865.0,5,0,0
-0.03,1569295154335.0,5,0,0
-0.03,1569295154795.0,5,0,0
-0.03,1569295155256.0,5,0,0
-0.03,1569295155715.0,5,0,0
-0.03,1569295156165.0,5,0,0
-0.03,1569295156626.0,5,0,0
-0.03,1569295157086.0,5,0,0
-0.03,1569295157545.0,5,0,0
-0.03,1569295158005.0,8,0,0
-0.03,1569295158466.0,8,0,0
-0.03,1569295158927.0,8,0,0
-0.03,1569295159385.0,8,0,0
-0.03,1569295159845.0,8,0,0
-0.03,1569295160316.0,8,0,0
-0.03,1569295160775.0,8,0,0
-0.03,1569295161235.0,8,0,0
-0.03,1569295161696.0,8,0,0
-0.03,1569295162156.0,8,0,0
-0.03,1569295162615.0,8,0,0
0.21,1569295163075.0,8,0,0
0.63,1569295163535.0,8,0,0
0.93,1569295163995.0,8,0,0
0.99,1569295164465.0,8,0,0
1.02,1569295164925.0,8,0,0
1.05,1569295165385.0,8,0,0
0.81,1569295165846.0,8,0,0
0.03,1569295166295.0,8,0,0
-0.03,1569295166765.0,8,0,0
-0.03,1569295167225.0,8,0,0
-0.03,1569295167685.0,8,0,0
