DT_steerAngle,Timestamp,Action,Bump,Traffic congestion
3.4000000000000004,1569376979000.0,1,0,0
3.7,1569376979468.0,1,0,0
4.4,1569376979920.0,1,0,0
6.1000000000000005,1569376980385.0,1,0,0
4.6000000000000005,1569376980840.0,1,0,0
1.4000000000000001,1569376981299.0,1,0,0
1.5,1569376981761.0,1,0,0
1.8,1569376982224.0,1,0,0
1.8,1569376982689.0,1,0,0
1.8,1569376983144.0,1,0,0
3.0,1569376983605.0,1,0,0
3.0,1569376984065.0,1,0,0
2.9000000000000004,1569376984530.0,1,0,0
0.7000000000000001,1569376984990.0,1,0,0
0.30000000000000004,1569376985465.0,1,0,0
0.4,1569376985909.0,1,0,0
-0.5,1569376986370.0,1,0,0
-2.0,1569376986830.0,1,0,0
-3.6,1569376987290.0,1,0,0
-3.9000000000000004,1569376987750.0,1,0,0
1.5,1569376988210.0,1,0,0
2.9000000000000004,1569376988675.0,1,0,0
3.4000000000000004,1569376989135.0,1,0,0
3.3000000000000003,1569376989595.0,1,0,0
4.0,1569376990109.0,1,0,0
3.9000000000000004,1569376990515.0,1,0,0
3.3000000000000003,1569376990970.0,1,0,0
2.9000000000000004,1569376991435.0,1,0,0
2.1,1569376991895.0,1,0,0
2.5,1569376992355.0,1,0,0
7.2,1569376992810.0,4,0,0
10.9,1569376993265.0,4,0,0
15.100000000000001,1569376993735.0,4,0,0
14.9,1569376994195.0,4,0,0
12.0,1569376994655.0,4,0,0
15.3,1569376995110.0,4,0,0
12.4,1569376995569.0,4,0,0
9.1,1569376996030.0,4,0,0
2.2,1569376996512.0,4,0,0
-2.8000000000000003,1569376996950.0,4,0,0
-7.1000000000000005,1569376997420.0,4,0,0
-7.5,1569376997874.0,4,0,0
-7.1000000000000005,1569376998335.0,4,0,0
-7.1000000000000005,1569376998795.0,4,0,0
-7.4,1569376999255.0,4,0,0
-8.1,1569376999720.0,4,0,0
-8.0,1569377000168.0,4,0,0
-7.6000000000000005,1569377000628.0,4,0,0
-5.7,1569377001089.0,4,0,0
-5.5,1569377001549.0,4,0,0
-4.3,1569377002005.0,4,0,0
-4.3,1569377002469.0,4,0,0
-4.3,1569377002929.0,4,0,0
1.2000000000000002,1569377003391.0,4,0,0
25.6,1569377003849.0,1,0,0
50.300000000000004,1569377004303.0,1,0,0
44.1,1569377004773.0,1,0,0
17.0,1569377005229.0,1,0,0
-8.5,1569377005688.0,1,0,0
-16.1,1569377006149.0,1,0,0
-17.0,1569377006615.0,1,0,0
-9.5,1569377007074.0,1,0,0
-9.0,1569377007534.0,1,0,0
-8.1,1569377007989.0,1,0,0
-8.200000000000001,1569377008456.0,1,0,0
-8.3,1569377008913.0,1,0,0
-8.9,1569377009369.0,1,0,0
-9.4,1569377009834.0,1,0,0
-9.600000000000001,1569377010289.0,1,0,0
-9.5,1569377010749.0,-1,0,0
-9.3,1569377011209.0,-1,0,0
-9.3,1569377011675.0,-1,0,0
-8.9,1569377012134.0,-1,0,0
-6.4,1569377012594.0,-1,0,0
-4.3,1569377013054.0,-1,0,0
7.7,1569377013519.0,-1,0,0
7.6000000000000005,1569377013979.0,-1,0,0
1.1,1569377014449.0,1,0,0
-1.2000000000000002,1569377014914.0,1,0,0
