DT_acceleration,Timestamp,Action,Bump,Traffic congestion
0.0,1569377062551.0,0,0,0
0.0,1569377063011.0,0,0,0
0.0,1569377063481.0,0,0,0
0.0,1569377063962.0,0,0,0
0.0,1569377064381.0,0,0,0
0.0,1569377064851.0,0,0,0
0.0,1569377065311.0,0,0,0
0.0,1569377065770.0,0,0,0
0.0,1569377066231.0,0,0,0
0.0,1569377066691.0,0,0,0
0.0,1569377067141.0,0,0,0
0.0,1569377067602.0,0,0,0
0.0,1569377068061.0,0,0,0
0.0,1569377068521.0,0,0,0
0.0,1569377068981.0,0,0,0
0.0,1569377069441.0,0,0,0
0.0,1569377069901.0,0,0,0
0.0,1569377070361.0,0,0,0
0.0,1569377070821.0,0,0,0
0.0,1569377071281.0,0,0,0
0.0,1569377071741.0,0,0,0
0.0,1569377072211.0,0,0,0
0.0,1569377072671.0,1,0,1
0.009000000000000001,1569377073121.0,1,0,1
0.458,1569377073591.0,1,0,1
0.511,1569377074041.0,1,0,1
0.339,1569377074511.0,1,0,1
0.033,1569377074971.0,1,0,1
-0.10200000000000001,1569377075441.0,1,0,1
0.023,1569377075901.0,1,0,1
-0.23900000000000002,1569377076361.0,1,0,1
-0.542,1569377076821.0,1,0,1
-0.421,1569377077281.0,1,0,1
-0.23600000000000002,1569377077741.0,1,0,1
-0.117,1569377078202.0,1,0,1
0.068,1569377078671.0,1,0,1
0.221,1569377079131.0,1,0,1
0.336,1569377079591.0,1,0,1
0.153,1569377080051.0,1,0,1
-0.031,1569377080511.0,1,0,1
-0.14200000000000002,1569377080971.0,1,0,1
-0.17200000000000001,1569377081431.0,1,0,1
0.051000000000000004,1569377081891.0,1,0,1
0.258,1569377082361.0,1,0,1
0.049,1569377082820.0,1,0,1
-0.184,1569377083281.0,1,0,1
-0.277,1569377083731.0,1,0,1
-0.18,1569377084191.0,0,0,0
-0.101,1569377084661.0,0,0,0
-0.046,1569377085128.0,0,0,0
-0.019,1569377085581.0,0,0,0
-0.008,1569377086041.0,0,0,0
-0.003,1569377086500.0,0,0,0
-0.001,1569377086961.0,0,0,0
