accLateral_data,Timestamp,Action,Bump,Traffic congestion
0.0,1576127890587,1,0,0
0.0,1576127891037,1,0,0
0.0,1576127891487,1,0,0
0.0,1576127891937,1,0,0
0.001,1576127892387,1,0,0
0.0,1576127892837,1,0,0
0.0,1576127893287,1,0,0
0.0,1576127893740,1,0,0
0.0,1576127894187,1,0,0
0.0,1576127894637,1,0,0
0.0,1576127895087,1,0,0
0.001,1576127895537,1,0,0
0.0,1576127895987,1,0,0
0.0,1576127896437,1,0,0
0.0,1576127896887,1,0,0
0.0,1576127897337,1,0,0
-0.001,1576127897787,1,0,0
0.0,1576127898237,1,0,0
0.0,1576127898687,1,0,0
0.001,1576127899137,1,0,0
0.0,1576127899587,1,0,0
0.0,1576127900037,1,0,0
-0.001,1576127900487,1,0,0
0.0,1576127900937,1,0,0
0.0,1576127901387,1,0,0
0.0,1576127901837,1,0,0
0.001,1576127902287,1,0,0
0.0,1576127902737,1,0,0
0.0,1576127903187,1,0,0
0.001,1576127903637,1,0,0
0.002,1576127904097,1,0,0
0.0,1576127904547,8,0,0
0.001,1576127904997,8,0,0
0.0,1576127905447,8,0,0
0.001,1576127905897,8,0,0
0.002,1576127906347,8,0,0
0.002,1576127906797,8,0,0
0.004,1576127907247,8,0,0
0.004,1576127907697,8,0,0
0.002,1576127908147,8,0,0
0.001,1576127908597,8,0,0
0.001,1576127909047,8,0,0
0.001,1576127909497,8,0,0
0.001,1576127909947,8,0,0
0.0,1576127910397,8,0,0
0.0,1576127910847,8,0,0
0.002,1576127911297,8,0,0
0.002,1576127911747,8,0,0
0.001,1576127912197,8,0,0
0.001,1576127912647,8,0,0
0.002,1576127913097,8,0,0
0.002,1576127913547,8,0,0
0.002,1576127913997,8,0,0
0.002,1576127914447,8,0,0
0.001,1576127914897,8,0,0
0.0,1576127915347,8,0,0
0.0,1576127915807,8,0,0
0.001,1576127916257,8,0,0
0.001,1576127916707,8,0,0
0.003,1576127917157,8,0,0
0.001,1576127917618,8,0,0
0.0,1576127918067,8,0,0
0.001,1576127918527,8,0,0
0.0,1576127918977,8,0,0
0.0,1576127919427,8,0,0
0.001,1576127919877,8,0,0
0.001,1576127920317,8,0,0
0.0,1576127920743,8,0,0
0.0,1576127921127,8,0,0
0.0,1576127921577,8,0,0
-0.002,1576127922027,8,0,0
-0.002,1576127922477,8,0,0
-0.002,1576127922927,8,0,0
0.001,1576127923377,8,0,0
0.006,1576127923828,8,0,0
0.003,1576127924277,8,0,0
0.006,1576127924727,8,0,0
0.001,1576127925177,8,0,0
-0.003,1576127925627,8,0,0
-0.002,1576127926077,8,0,0
0.002,1576127926527,8,0,0
0.0,1576127926977,8,0,0
-0.001,1576127927427,8,0,0
-0.001,1576127927877,8,0,0
-0.002,1576127928327,8,0,0
0.0,1576127928777,8,0,0
0.0,1576127929227,8,0,0
0.0,1576127929677,8,0,0
0.0,1576127930127,8,0,0
0.0,1576127930577,8,0,0
0.0,1576127931027,8,0,0
0.0,1576127931477,8,0,0
0.0,1576127931927,8,0,0
0.0,1576127932377,1,0,0
0.0,1576127932827,1,0,0
-0.001,1576127933277,1,0,0
0.0,1576127933727,1,0,0
0.0,1576127934177,1,0,0
0.0,1576127934627,1,0,0
0.0,1576127935077,1,0,0
-0.001,1576127935527,1,0,0
0.0,1576127935977,1,0,0
0.0,1576127936437,1,0,0
-0.001,1576127936847,1,0,0
0.0,1576127937297,1,0,0
0.0,1576127937747,1,0,0
0.0,1576127938197,1,0,0
0.0,1576127938647,1,0,0
0.001,1576127939097,1,0,0
0.0,1576127939547,1,0,0
0.0,1576127939997,1,0,0
0.0,1576127940447,1,0,0
-0.001,1576127940897,1,0,0
-0.001,1576127941347,1,0,0
-0.001,1576127941767,1,0,0
-0.002,1576127942217,1,0,0
-0.003,1576127942667,1,0,0
-0.002,1576127943117,1,0,0
-0.004,1576127943567,1,0,0
-0.005,1576127944017,1,0,0
0.0,1576127944467,1,0,0
-0.002,1576127944917,1,0,0
-0.001,1576127945367,1,0,0
-0.002,1576127945817,1,0,0
0.001,1576127946267,5,0,0
-0.002,1576127946717,5,0,0
-0.003,1576127947167,5,0,0
-0.003,1576127947627,5,0,0
-0.009000000000000001,1576127948077,5,0,0
0.0,1576127948527,5,0,0
0.004,1576127948977,5,0,0
0.002,1576127949427,5,0,0
0.003,1576127949877,5,0,0
0.001,1576127950327,5,0,0
0.0,1576127950777,5,0,0
0.004,1576127951227,5,0,0
0.004,1576127951677,5,0,0
0.005,1576127952127,5,0,0
0.002,1576127952577,5,0,0
0.002,1576127953027,5,0,0
0.0,1576127953477,5,0,0
0.001,1576127953927,5,0,0
-0.002,1576127954377,3,0,0
-0.004,1576127954837,3,0,0
-0.002,1576127955287,3,0,0
-0.001,1576127955737,3,0,0
-0.002,1576127956187,3,0,0
-0.003,1576127956637,3,0,0
-0.003,1576127957087,3,0,0
-0.002,1576127957537,3,0,0
-0.005,1576127957987,3,0,0
0.001,1576127958437,3,0,0
-0.001,1576127958887,3,0,0
-0.004,1576127959337,3,0,0
-0.004,1576127959787,3,0,0
-0.008,1576127960237,3,0,0
0.0,1576127960687,3,0,0
0.003,1576127961137,3,0,0
0.001,1576127961587,3,0,0
0.002,1576127962037,3,0,0
-0.001,1576127962487,1,0,0
-0.002,1576127962937,1,0,0
-0.002,1576127963387,1,0,0
0.0,1576127963837,1,0,0
-0.001,1576127964287,1,0,0
-0.003,1576127964737,1,0,0
-0.004,1576127965187,1,0,0
-0.005,1576127965637,1,0,0
-0.005,1576127966087,1,0,0
-0.004,1576127966537,1,0,0
-0.004,1576127966987,1,0,0
-0.005,1576127967447,1,0,0
-0.005,1576127967898,1,0,0
-0.005,1576127968357,1,0,0
-0.006,1576127968807,1,0,0
-0.006,1576127969257,1,0,0
-0.006,1576127969707,1,0,0
-0.006,1576127970157,1,0,0
-0.007,1576127970607,1,0,0
-0.007,1576127971057,1,0,0
-0.007,1576127971507,1,0,0
-0.007,1576127971957,1,0,0
-0.007,1576127972407,1,0,0
-0.007,1576127972857,1,0,0
-0.007,1576127973307,1,0,0
-0.007,1576127973757,1,0,0
-0.007,1576127974208,1,0,0
-0.007,1576127974657,1,0,0
-0.006,1576127975107,1,0,0
-0.009000000000000001,1576127975558,1,0,0
-0.007,1576127976008,1,0,0
-0.009000000000000001,1576127976457,1,0,0
-0.006,1576127976907,1,0,0
-0.006,1576127977358,1,0,0
-0.005,1576127977807,3,0,0
-0.006,1576127978258,3,0,0
-0.004,1576127978708,3,0,0
-0.004,1576127979157,3,0,0
-0.005,1576127979607,3,0,0
-0.005,1576127980058,3,0,0
-0.006,1576127980507,3,0,0
-0.004,1576127980958,3,0,0
-0.01,1576127981408,3,0,0
-0.007,1576127981858,3,0,0
-0.008,1576127982308,3,0,0
-0.005,1576127982758,3,0,0
-0.004,1576127983208,3,0,0
-0.001,1576127983658,3,0,0
-0.003,1576127984108,3,0,0
-0.003,1576127984558,3,0,0
-0.006,1576127985008,3,0,0
-0.006,1576127985458,3,0,0
-0.004,1576127985908,3,0,0
-0.004,1576127986358,3,0,0
-0.01,1576127986808,3,0,0
-0.006,1576127987258,3,0,0
-0.006,1576127987708,3,0,0
-0.008,1576127988158,3,0,0
-0.006,1576127988608,3,0,0
-0.006,1576127989058,3,0,0
-0.004,1576127989508,3,0,0
-0.004,1576127989958,3,0,0
-0.003,1576127990409,3,0,0
-0.003,1576127990858,3,0,0
-0.001,1576127991308,1,0,0
0.0,1576127991758,1,0,0
-0.002,1576127992208,1,0,0
-0.001,1576127992658,1,0,0
0.0,1576127993108,1,0,0
0.0,1576127993558,1,0,0
0.0,1576127994008,4,0,0
0.0,1576127994458,4,0,0
0.001,1576127994918,4,0,0
0.001,1576127995378,4,0,0
0.001,1576127995828,4,0,0
-0.002,1576127996278,4,0,0
-0.001,1576127996728,4,0,0
-0.005,1576127997178,4,0,0
-0.005,1576127997628,4,0,0
-0.006,1576127998078,4,0,0
-0.001,1576127998528,4,0,0
-0.002,1576127998978,4,0,0
-0.005,1576127999428,4,0,0
-0.003,1576127999868,4,0,0
-0.002,1576128000248,4,0,0
-0.007,1576128000698,4,0,0
-0.006,1576128001148,4,0,0
-0.002,1576128001598,4,0,0
-0.003,1576128002048,4,0,0
-0.006,1576128002498,4,0,0
-0.005,1576128002948,4,0,0
-0.006,1576128003399,4,0,0
-0.008,1576128003848,4,0,0
-0.008,1576128004298,4,0,0
-0.009000000000000001,1576128004748,4,0,0
-0.005,1576128005198,4,0,0
-0.007,1576128005648,4,0,0
-0.007,1576128006098,4,0,0
-0.006,1576128006548,4,0,0
0.0,1576128006998,1,0,0
0.0,1576128007449,1,0,0
-0.001,1576128007899,1,0,0
-0.001,1576128008348,1,0,0
-0.001,1576128008798,1,0,0
-0.002,1576128009248,1,0,0
-0.001,1576128009698,1,0,0
-0.001,1576128010148,1,0,0
0.0,1576128010598,1,0,0
0.0,1576128011048,1,0,0
0.0,1576128011498,1,0,0
-0.001,1576128011949,1,0,0
0.001,1576128012398,1,0,0
0.002,1576128012848,1,0,0
0.001,1576128013298,1,0,0
0.0,1576128013748,1,0,0
0.003,1576128014198,1,0,0
0.004,1576128014648,1,0,0
0.007,1576128015098,1,0,0
0.004,1576128015548,1,0,0
0.003,1576128015998,1,0,0
0.0,1576128016448,1,0,0
0.003,1576128016898,1,0,0
0.004,1576128017348,1,0,0
0.003,1576128017798,1,0,0
0.001,1576128018248,1,0,0
0.002,1576128018699,1,0,0
0.006,1576128019148,1,0,0
0.002,1576128019598,1,0,0
0.002,1576128020048,1,0,0
0.0,1576128020498,1,0,0
0.0,1576128020948,1,0,0
-0.001,1576128021398,1,0,0
0.0,1576128021848,1,0,0
0.0,1576128022298,1,0,0
0.0,1576128022749,1,0,0
0.002,1576128023198,1,0,0
-0.001,1576128023648,1,0,0
0.001,1576128024098,1,0,0
-0.001,1576128024549,1,0,0
-0.001,1576128024998,1,0,0
0.0,1576128025449,1,0,0
0.001,1576128025898,1,0,0
0.0,1576128026348,1,0,0
0.0,1576128026798,1,0,0
0.002,1576128027248,1,0,0
0.002,1576128027698,1,0,0
0.003,1576128028148,1,0,0
-0.002,1576128028598,1,0,0
-0.001,1576128029048,1,0,0
0.001,1576128029498,1,0,0
-0.001,1576128029948,1,0,0
-0.001,1576128030398,1,0,0
0.0,1576128030848,1,0,0
-0.001,1576128031298,1,0,0
0.0,1576128031748,1,0,0
0.0,1576128032198,1,0,0
0.0,1576128032648,1,0,0
0.0,1576128033098,1,0,0
-0.001,1576128033548,1,0,0
0.003,1576128033998,1,0,0
-0.001,1576128034448,1,0,0
0.0,1576128034899,1,0,0
0.0,1576128035348,1,0,0
0.0,1576128035798,1,0,0
0.0,1576128036248,1,0,0
0.0,1576128036698,1,0,0
0.001,1576128037148,1,0,0
-0.001,1576128037598,1,0,0
0.001,1576128038048,1,0,0
0.0,1576128038498,1,0,0
0.001,1576128038948,1,0,0
-0.001,1576128039398,1,0,0
0.0,1576128039848,1,0,0
0.0,1576128040298,1,0,0
0.0,1576128040748,1,0,0
0.0,1576128041198,1,0,0
0.003,1576128041648,1,0,0
0.0,1576128042098,1,0,0
-0.001,1576128042548,1,0,0
0.0,1576128042998,1,0,0
0.002,1576128043448,1,0,0
0.0,1576128043898,1,0,0
0.0,1576128044348,1,0,0
0.0,1576128044798,1,0,0
0.003,1576128045248,1,0,0
0.002,1576128045698,1,0,0
0.002,1576128046148,1,0,0
0.001,1576128046598,1,0,0
0.0,1576128047048,1,0,0
-0.002,1576128047498,1,0,0
-0.001,1576128047948,1,0,0
-0.002,1576128048398,1,0,0
-0.002,1576128048848,1,0,0
-0.001,1576128049308,1,0,0
-0.001,1576128049759,1,0,0
0.004,1576128050208,1,0,0
0.003,1576128050658,1,0,0
0.001,1576128051108,1,0,0
0.0,1576128051559,1,0,0
-0.001,1576128052008,1,0,0
0.001,1576128052458,1,0,0
0.0,1576128052908,1,0,0
-0.002,1576128053359,1,0,0
-0.001,1576128053808,1,0,0
-0.001,1576128054258,1,0,0
0.002,1576128054708,1,0,0
0.003,1576128055158,1,0,0
0.0,1576128055608,1,0,0
-0.001,1576128056058,1,0,0
-0.001,1576128056508,1,0,0
-0.003,1576128056959,1,0,0
-0.002,1576128057409,1,0,0
0.0,1576128057859,1,0,0
-0.001,1576128058309,1,0,0
-0.002,1576128058758,1,0,0
-0.001,1576128059209,1,0,0
0.0,1576128059659,1,0,0
0.0,1576128060109,1,0,0
-0.002,1576128060559,1,0,0
-0.002,1576128061009,1,0,0
-0.002,1576128061458,1,0,0
-0.003,1576128061909,1,0,0
-0.007,1576128062368,1,0,0
-0.002,1576128062819,1,0,0
-0.005,1576128063269,1,0,0
-0.003,1576128063718,1,0,0
-0.002,1576128064169,1,0,0
-0.001,1576128064618,1,0,0
-0.002,1576128065069,1,0,0
-0.002,1576128065519,1,0,0
0.0,1576128065969,1,0,0
-0.002,1576128066419,1,0,0
-0.003,1576128066879,1,0,0
-0.005,1576128067328,1,0,0
-0.005,1576128067779,1,0,0
-0.002,1576128068228,1,0,0
0.0,1576128068679,1,0,0
0.0,1576128069129,1,0,0
-0.002,1576128069579,1,0,0
-0.006,1576128070028,1,0,0
-0.005,1576128070479,1,0,0
-0.005,1576128070929,1,0,0
-0.001,1576128071379,1,0,0
0.0,1576128071828,1,0,0
0.0,1576128072279,1,0,0
-0.001,1576128072729,1,0,0
-0.001,1576128073179,1,0,0
-0.002,1576128073629,1,0,0
-0.004,1576128074079,1,0,0
-0.003,1576128074529,1,0,0
-0.004,1576128074979,1,0,0
-0.002,1576128075429,1,0,0
-0.006,1576128075879,1,0,0
0.0,1576128076329,1,0,0
0.0,1576128076779,1,0,0
0.0,1576128077229,1,0,0
-0.002,1576128077679,1,0,0
-0.002,1576128078129,1,0,0
0.0,1576128078579,1,0,0
0.0,1576128079029,5,0,0
0.0,1576128079479,5,0,0
-0.002,1576128079939,5,0,0
-0.003,1576128080389,5,0,0
-0.004,1576128080839,5,0,0
-0.005,1576128081289,5,0,0
-0.001,1576128081739,5,0,0
-0.002,1576128082189,5,0,0
-0.002,1576128082639,5,0,0
0.0,1576128083089,5,0,0
0.0,1576128083539,5,0,0
-0.002,1576128083989,5,0,0
0.0,1576128084439,5,0,0
0.0,1576128084889,5,0,0
0.002,1576128085339,5,0,0
0.003,1576128085789,5,0,0
0.004,1576128086239,5,0,0
0.004,1576128086689,5,0,0
0.005,1576128087139,5,0,0
0.005,1576128087589,5,0,0
0.003,1576128088039,5,0,0
0.0,1576128088489,5,0,0
0.002,1576128088939,5,0,0
0.0,1576128089389,5,0,0
0.0,1576128089839,1,0,0
0.002,1576128090289,1,0,0
0.0,1576128090739,1,0,0
0.002,1576128091189,1,0,0
-0.001,1576128091639,1,0,0
-0.001,1576128092089,1,0,0
0.0,1576128092539,1,0,0
-0.001,1576128092999,1,0,0
0.0,1576128093449,5,0,0
-0.001,1576128093899,5,0,0
-0.005,1576128094349,5,0,0
-0.001,1576128094799,5,0,0
0.0,1576128095249,5,0,0
0.0,1576128095699,5,0,0
-0.001,1576128096149,5,0,0
-0.002,1576128096599,5,0,0
-0.001,1576128097019,5,0,0
0.005,1576128097469,5,0,0
0.005,1576128097919,5,0,0
0.002,1576128098369,5,0,0
0.002,1576128098819,5,0,0
0.0,1576128099269,5,0,0
0.0,1576128099719,5,0,0
0.0,1576128100169,5,0,0
0.0,1576128100619,5,0,0
0.0,1576128101070,5,0,0
0.001,1576128101519,5,0,0
0.0,1576128101969,5,0,0
-0.001,1576128102419,3,0,0
-0.001,1576128102869,3,0,0
0.001,1576128103319,3,0,0
0.0,1576128103769,3,0,0
-0.02,1576128104219,3,0,0
-0.021,1576128104669,3,0,0
-0.03,1576128105119,3,0,0
-0.009000000000000001,1576128105569,3,0,0
-0.002,1576128106019,3,0,0
-0.022,1576128106469,3,0,0
-0.028,1576128106920,3,0,0
-0.025,1576128107369,3,0,0
-0.002,1576128107819,3,0,0
-0.018000000000000002,1576128108269,3,0,0
-0.014,1576128108719,3,0,0
-0.017,1576128109179,3,0,0
-0.017,1576128109629,3,0,0
-0.018000000000000002,1576128110079,3,0,0
-0.021,1576128110529,3,0,0
-0.02,1576128110979,3,0,0
