DT_lateralAcc,Timestamp,Action,Bump,Traffic congestion
0.04,1569385468265.0,8,0,0
0.01,1569385468726.0,8,0,0
0.01,1569385469185.0,8,0,0
0.02,1569385469646.0,8,0,0
0.03,1569385470106.0,8,0,0
0.02,1569385470608.0,8,0,0
0.03,1569385471026.0,8,0,0
0.03,1569385471496.0,8,0,0
0.02,1569385471946.0,8,0,0
0.03,1569385472411.0,8,0,0
0.02,1569385472866.0,8,0,0
0.02,1569385473326.0,8,0,0
0.02,1569385473796.0,8,0,0
0.02,1569385474266.0,8,0,0
0.02,1569385474726.0,8,0,0
-0.01,1569385475185.0,8,0,0
-0.01,1569385475646.0,8,0,0
0.02,1569385476106.0,8,0,0
0.02,1569385476566.0,8,0,0
0.02,1569385477016.0,8,0,0
0.02,1569385477476.0,8,0,0
0.01,1569385477936.0,8,0,0
0.01,1569385478411.0,8,0,0
0.03,1569385478856.0,8,0,0
0.03,1569385479316.0,8,0,0
0.03,1569385479786.0,8,0,0
0.03,1569385480235.0,8,0,0
0.02,1569385480705.0,8,0,0
0.02,1569385481155.0,8,0,0
0.03,1569385481625.0,8,0,0
0.02,1569385482086.0,8,0,0
0.03,1569385482535.0,8,0,0
0.03,1569385482996.0,8,0,0
0.03,1569385483456.0,8,0,0
0.08,1569385483915.0,8,0,0
0.05,1569385484386.0,8,0,0
0.04,1569385484846.0,8,0,0
0.06,1569385485306.0,8,0,0
0.01,1569385485765.0,8,0,0
0.03,1569385486231.0,8,0,0
0.02,1569385486685.0,8,0,0
0.02,1569385487147.0,8,0,0
0.03,1569385487608.0,8,0,0
0.03,1569385488066.0,8,0,0
0.02,1569385488515.0,8,0,0
0.03,1569385488976.0,8,0,0
0.03,1569385489444.0,8,0,0
0.03,1569385489896.0,8,0,0
0.01,1569385490355.0,8,0,0
0.02,1569385490826.0,8,0,0
0.0,1569385491286.0,8,0,0
0.0,1569385491736.0,8,0,0
0.0,1569385492195.0,8,0,0
0.01,1569385492655.0,8,0,0
0.0,1569385493116.0,1,0,0
0.01,1569385493587.0,1,0,0
0.01,1569385494038.0,1,0,0
0.0,1569385494497.0,1,0,0
0.0,1569385494955.0,1,0,0
0.03,1569385495416.0,1,0,0
0.02,1569385495876.0,1,0,0
0.0,1569385496335.0,5,0,0
0.0,1569385496807.0,5,0,0
-0.01,1569385497266.0,5,0,0
0.0,1569385497725.0,5,0,0
0.01,1569385498185.0,5,0,0
0.01,1569385498655.0,5,0,0
0.01,1569385499126.0,5,0,0
0.01,1569385499585.0,5,0,0
0.01,1569385500047.0,5,0,0
0.03,1569385500507.0,5,0,0
0.02,1569385500983.0,5,0,0
0.03,1569385501426.0,5,0,0
0.02,1569385501886.0,5,0,0
0.02,1569385502346.0,5,0,0
0.03,1569385502806.0,1,0,0
0.02,1569385503265.0,1,0,0
0.02,1569385503737.0,1,0,0
0.01,1569385504196.0,1,0,0
0.01,1569385504666.0,1,0,0
0.01,1569385505116.0,1,0,0
0.01,1569385505576.0,1,0,0
0.0,1569385506036.0,1,0,0
0.0,1569385506495.0,1,0,0
-0.01,1569385506955.0,1,0,0
0.0,1569385507417.0,1,0,0
0.0,1569385507876.0,1,0,0
0.0,1569385508382.0,1,0,0
-0.01,1569385508796.0,1,0,0
0.0,1569385509256.0,1,0,0
-0.01,1569385509716.0,1,0,0
0.0,1569385510176.0,1,0,0
0.01,1569385510637.0,1,0,0
0.0,1569385511108.0,1,0,0
0.04,1569385511566.0,1,0,0
0.03,1569385512017.0,1,0,0
0.04,1569385512476.0,1,0,0
0.02,1569385512936.0,1,0,0
0.02,1569385513396.0,1,0,0
0.02,1569385513846.0,1,0,0
0.03,1569385514307.0,1,0,0
0.0,1569385514766.0,1,0,0
0.0,1569385515226.0,1,0,0
-0.01,1569385515687.0,1,0,0
0.0,1569385516146.0,1,0,0
-0.02,1569385516627.0,1,0,0
0.0,1569385517081.0,1,0,0
0.0,1569385517537.0,1,0,0
-0.01,1569385517997.0,1,0,0
-0.02,1569385518457.0,1,0,0
-0.01,1569385518917.0,1,0,0
0.0,1569385519377.0,1,0,0
0.0,1569385519847.0,1,0,0
-0.02,1569385520307.0,1,0,0
-0.04,1569385520777.0,3,0,0
-0.08,1569385521237.0,3,0,0
-0.08,1569385521697.0,3,0,0
-0.14,1569385522157.0,3,0,0
-0.15,1569385522637.0,3,0,0
-0.13,1569385523078.0,3,0,0
-0.12,1569385523536.0,3,0,0
-0.16,1569385523996.0,3,0,0
-0.21,1569385524457.0,3,0,0
-0.24,1569385524917.0,3,0,0
-0.24,1569385525377.0,3,0,0
-0.19,1569385525837.0,3,0,0
-0.12,1569385526297.0,3,0,0
-0.12,1569385526757.0,3,0,0
-0.08,1569385527227.0,3,0,0
-0.07,1569385527695.0,3,0,0
0.0,1569385528146.0,3,0,0
-0.01,1569385528607.0,1,0,0
-0.01,1569385529076.0,1,0,0
0.01,1569385529568.0,4,0,0
0.02,1569385529987.0,4,0,0
0.05,1569385530446.0,4,0,0
0.07,1569385530907.0,4,0,0
0.08,1569385531367.0,4,0,0
0.08,1569385531827.0,4,0,0
0.0,1569385532276.0,4,0,0
-0.01,1569385532737.0,4,0,0
-0.05,1569385533197.0,4,0,0
-0.07,1569385533666.0,4,0,0
-0.02,1569385534117.0,4,0,0
-0.02,1569385534587.0,1,0,0
0.0,1569385535037.0,1,0,0
0.0,1569385535507.0,1,0,0
0.01,1569385535967.0,1,0,0
0.01,1569385536429.0,1,0,0
0.0,1569385536887.0,1,0,0
0.0,1569385537347.0,1,0,0
0.0,1569385537807.0,1,0,0
0.0,1569385538267.0,1,0,0
0.0,1569385538727.0,1,0,0
0.0,1569385539197.0,1,0,0
0.0,1569385539657.0,1,0,0
0.0,1569385540120.0,1,0,0
0.01,1569385540587.0,1,0,0
0.01,1569385541047.0,1,0,0
0.01,1569385541507.0,1,0,0
0.01,1569385541967.0,1,0,0
0.0,1569385542427.0,1,0,0
0.0,1569385542887.0,1,0,0
0.0,1569385543347.0,1,0,0
0.0,1569385543807.0,1,0,0
0.0,1569385544277.0,1,0,0
0.0,1569385544737.0,1,0,0
0.0,1569385545199.0,1,0,0
0.02,1569385545657.0,1,0,0
