accPre_data,Timestamp,Action,Bump,Traffic congestion
14.5225,1577072327147,3,0,0
18.84,1577072327597,3,0,0
25.905,1577072328087,3,0,0
14.5225,1577072328537,3,0,0
14.5225,1577072329027,3,0,0
23.55,1577072329477,3,0,0
32.97,1577072329977,3,0,0
36.502500000000005,1577072330427,3,0,0
21.98,1577072330917,3,0,0
14.5225,1577072331367,3,0,0
25.5125,1577072331857,3,0,0
32.185,1577072332307,3,0,0
32.5775,1577072332797,3,0,0
27.475,1577072333247,3,0,0
14.5225,1577072333737,3,0,0
14.5225,1577072334187,3,0,0
14.5225,1577072334677,3,0,0
14.5225,1577072335127,3,0,0
14.5225,1577072335617,3,0,0
14.5225,1577072336067,3,0,0
14.5225,1577072336557,3,0,0
14.5225,1577072337007,3,0,0
14.5225,1577072337497,2,0,0
14.5225,1577072337937,2,0,0
14.5225,1577072338427,2,0,0
14.5225,1577072338867,2,0,0
14.915000000000001,1577072339356,2,0,0
20.41,1577072339797,2,0,0
21.195,1577072340286,2,0,0
24.727500000000003,1577072340737,2,0,0
30.615000000000002,1577072341226,2,0,0
31.0075,1577072341676,2,0,0
31.0075,1577072342176,2,0,0
15.700000000000001,1577072342617,2,0,0
14.5225,1577072343106,2,0,0
16.0925,1577072343557,2,0,0
21.587500000000002,1577072344046,2,0,0
25.12,1577072344496,2,0,0
30.615000000000002,1577072344986,2,0,0
31.0075,1577072345437,2,0,0
31.0075,1577072345926,2,0,0
31.0075,1577072346376,2,0,0
31.400000000000002,1577072346866,2,0,0
31.400000000000002,1577072347316,2,0,0
31.7925,1577072347806,1,0,0
32.97,1577072348256,1,0,0
34.1475,1577072348756,1,0,0
34.1475,1577072349206,1,0,0
34.1475,1577072349696,1,0,0
34.1475,1577072350146,1,0,0
31.7925,1577072350636,1,0,0
32.97,1577072351086,1,0,0
32.97,1577072351576,4,0,0
32.97,1577072352026,4,0,0
32.97,1577072352516,4,0,0
32.97,1577072352966,4,0,0
33.362500000000004,1577072353456,4,0,0
33.362500000000004,1577072353896,4,0,0
33.362500000000004,1577072354386,4,0,0
33.362500000000004,1577072354826,4,0,0
33.362500000000004,1577072355316,4,0,0
33.362500000000004,1577072355766,4,0,0
33.362500000000004,1577072356256,4,0,0
33.362500000000004,1577072356696,4,0,0
33.362500000000004,1577072357186,4,0,0
33.755,1577072357626,1,0,0
33.755,1577072358116,1,0,0
33.755,1577072358576,1,0,0
33.362500000000004,1577072359066,1,0,0
33.362500000000004,1577072359516,1,0,0
33.362500000000004,1577072360006,1,0,0
29.830000000000002,1577072360456,1,0,0
30.2225,1577072360946,1,0,0
32.185,1577072361386,1,0,0
33.362500000000004,1577072361876,1,0,0
34.932500000000005,1577072362326,1,0,0
34.54,1577072362816,1,0,0
34.54,1577072363266,1,0,0
34.54,1577072363756,1,0,0
34.54,1577072364206,1,0,0
34.54,1577072364696,1,0,0
32.97,1577072365146,5,0,0
31.7925,1577072365636,5,0,0
30.615000000000002,1577072366086,5,0,0
30.615000000000002,1577072366576,5,0,0
30.615000000000002,1577072367026,5,0,0
30.615000000000002,1577072367516,5,0,0
30.615000000000002,1577072367966,5,0,0
30.615000000000002,1577072368456,5,0,0
30.615000000000002,1577072368906,5,0,0
30.615000000000002,1577072369396,5,0,0
31.0075,1577072369836,5,0,0
31.0075,1577072370326,5,0,0
31.0075,1577072370776,5,0,0
31.0075,1577072371266,1,0,0
31.0075,1577072371716,1,0,0
31.0075,1577072372206,1,0,0
31.0075,1577072372656,4,0,0
31.0075,1577072373146,4,0,0
31.0075,1577072373596,4,0,0
30.615000000000002,1577072374096,4,0,0
30.615000000000002,1577072374546,4,0,0
30.615000000000002,1577072375046,4,0,0
30.615000000000002,1577072375496,4,0,0
30.615000000000002,1577072375986,4,0,0
30.615000000000002,1577072376436,4,0,0
30.615000000000002,1577072376926,4,0,0
30.2225,1577072377376,1,0,0
29.830000000000002,1577072377866,1,0,0
27.8675,1577072378316,1,0,0
25.5125,1577072378806,1,0,0
14.5225,1577072379256,1,0,0
14.5225,1577072379756,1,0,0
14.5225,1577072380206,1,0,0
14.5225,1577072380696,1,0,0
14.5225,1577072381146,1,0,0
21.195,1577072381646,1,0,0
28.26,1577072382096,1,0,0
28.6525,1577072382586,1,0,0
28.26,1577072383036,1,0,0
28.26,1577072383526,1,0,0
28.26,1577072383976,1,0,0
28.26,1577072384466,1,0,0
28.26,1577072384916,1,0,0
27.8675,1577072385406,1,0,0
27.8675,1577072385846,1,0,0
27.8675,1577072386346,1,0,0
28.26,1577072386795,1,0,0
29.045,1577072387286,1,0,0
29.045,1577072387736,1,0,0
29.4375,1577072388236,1,0,0
29.4375,1577072388685,1,0,0
29.4375,1577072389175,1,0,0
28.6525,1577072389625,1,0,0
14.5225,1577072390115,1,0,0
14.5225,1577072390565,1,0,0
14.5225,1577072391065,1,0,0
14.5225,1577072391515,1,0,0
14.5225,1577072392006,3,0,0
14.5225,1577072392455,3,0,0
14.5225,1577072392946,3,0,0
14.5225,1577072393395,3,0,0
14.5225,1577072393886,3,0,0
14.5225,1577072394335,3,0,0
14.5225,1577072394825,3,0,0
14.5225,1577072395275,3,0,0
23.942500000000003,1577072395765,3,0,0
32.97,1577072396215,3,0,0
34.1475,1577072396705,3,0,0
34.1475,1577072397155,3,0,0
34.1475,1577072397645,3,0,0
34.1475,1577072398095,3,0,0
34.1475,1577072398585,3,0,0
34.1475,1577072399035,3,0,0
34.1475,1577072399525,3,0,0
34.54,1577072399975,3,0,0
34.54,1577072400465,3,0,0
34.54,1577072400915,3,0,0
34.54,1577072401405,3,0,0
35.325,1577072401855,3,0,0
38.8575,1577072402345,3,0,0
41.2125,1577072402795,1,0,0
42.39,1577072403285,1,0,0
42.39,1577072403735,1,0,0
42.39,1577072404225,1,0,0
42.39,1577072404685,1,0,0
42.39,1577072405175,1,0,0
14.5225,1577072405625,1,0,0
14.5225,1577072406115,1,0,0
14.5225,1577072406565,1,0,0
14.5225,1577072407055,1,0,0
14.5225,1577072407505,1,0,0
14.5225,1577072407995,-1,0,0
14.5225,1577072408435,-1,0,0
14.5225,1577072408925,-1,0,0
14.5225,1577072409375,-1,0,0
14.5225,1577072409865,-1,0,0
14.5225,1577072410315,-1,0,0
14.5225,1577072410805,-1,0,0
32.97,1577072411255,-1,0,0
34.932500000000005,1577072411745,-1,0,0
34.932500000000005,1577072412195,-1,0,0
34.932500000000005,1577072412685,-1,0,0
34.932500000000005,1577072413135,-1,0,0
34.932500000000005,1577072413625,-1,0,0
34.932500000000005,1577072414075,-1,0,0
34.932500000000005,1577072414565,-1,0,0
34.932500000000005,1577072415015,-1,0,0
34.932500000000005,1577072415505,-1,0,0
34.932500000000005,1577072415955,-1,0,0
35.325,1577072416445,-1,0,0
35.7175,1577072416885,-1,0,0
39.6425,1577072417375,-1,0,0
41.9975,1577072417815,-1,0,0
41.605000000000004,1577072418315,-1,0,0
41.605000000000004,1577072418765,-1,0,0
41.605000000000004,1577072419255,-1,0,0
39.25,1577072419715,-1,0,0
33.362500000000004,1577072420205,4,0,0
32.185,1577072420655,4,0,0
32.5775,1577072421145,4,0,0
32.5775,1577072421595,4,0,0
32.185,1577072422085,4,0,0
32.185,1577072422535,4,0,0
31.7925,1577072423025,4,0,0
31.7925,1577072423475,4,0,0
31.400000000000002,1577072423965,4,0,0
31.400000000000002,1577072424415,4,0,0
31.400000000000002,1577072424905,4,0,0
31.400000000000002,1577072425355,4,0,0
25.12,1577072425845,4,0,0
14.5225,1577072426295,1,0,0
14.5225,1577072426785,1,0,0
22.372500000000002,1577072427235,1,0,0
28.26,1577072427725,1,0,0
29.830000000000002,1577072428175,1,0,0
29.830000000000002,1577072428665,1,0,0
30.2225,1577072429115,1,0,0
30.2225,1577072429605,1,0,0
30.615000000000002,1577072430055,1,0,0
30.615000000000002,1577072430545,1,0,0
30.615000000000002,1577072431005,1,0,0
31.0075,1577072431495,1,0,0
31.0075,1577072431945,1,0,0
31.0075,1577072432435,1,0,0
31.0075,1577072432875,1,0,0
31.400000000000002,1577072433365,1,0,0
31.400000000000002,1577072433815,1,0,0
31.400000000000002,1577072434306,1,0,0
31.400000000000002,1577072434754,1,0,0
31.400000000000002,1577072435255,1,0,0
31.400000000000002,1577072435705,1,0,0
31.400000000000002,1577072436195,1,0,0
31.400000000000002,1577072436644,1,0,0
31.400000000000002,1577072437134,5,0,0
31.400000000000002,1577072437585,5,0,0
31.400000000000002,1577072438075,5,0,0
31.400000000000002,1577072438525,5,0,0
30.615000000000002,1577072439015,5,0,0
30.2225,1577072439465,5,0,0
30.2225,1577072439955,5,0,0
29.830000000000002,1577072440406,5,0,0
22.765,1577072440895,5,0,0
16.8775,1577072441345,5,0,0
17.6625,1577072441835,5,0,0
19.2325,1577072442286,5,0,0
25.12,1577072442774,5,0,0
22.372500000000002,1577072443225,5,0,0
17.6625,1577072443714,5,0,0
19.625,1577072444165,4,0,0
31.400000000000002,1577072444654,4,0,0
30.615000000000002,1577072445106,4,0,0
30.2225,1577072445594,4,0,0
30.2225,1577072446045,4,0,0
30.2225,1577072446534,4,0,0
30.2225,1577072446984,4,0,0
30.615000000000002,1577072447474,4,0,0
30.615000000000002,1577072447914,4,0,0
30.615000000000002,1577072448405,4,0,0
31.0075,1577072448854,4,0,0
31.0075,1577072449344,4,0,0
31.0075,1577072449794,4,0,0
31.0075,1577072450285,4,0,0
31.0075,1577072450744,4,0,0
31.0075,1577072451235,4,0,0
31.400000000000002,1577072451685,4,0,0
32.5775,1577072452184,4,0,0
33.755,1577072452634,1,0,0
33.755,1577072453124,1,0,0
34.1475,1577072453574,1,0,0
33.755,1577072454065,1,0,0
33.755,1577072454525,1,0,0
30.615000000000002,1577072455025,1,0,0
