rpm_data,Timestamp,Action,Bump,Traffic congestion
1346.0,1576135122703,3,0,0
1374.0,1576135123153,3,0,0
1366.0,1576135123603,3,0,0
1516.5,1576135124053,3,0,0
1651.0,1576135124504,3,0,0
1855.5,1576135124953,3,0,0
2140.0,1576135125403,3,0,0
2150.5,1576135125853,3,0,0
1776.5,1576135126303,3,0,0
1437.0,1576135126753,3,0,0
1406.5,1576135127203,3,0,0
1431.5,1576135127653,3,0,0
1458.5,1576135128103,3,0,0
1487.0,1576135128553,3,0,0
1517.5,1576135129003,3,0,0
1552.5,1576135129453,3,0,0
1585.5,1576135129904,3,0,0
1612.0,1576135130353,3,0,0
1653.0,1576135130803,3,0,0
1678.0,1576135131253,3,0,0
1712.5,1576135131703,3,0,0
1740.0,1576135132153,3,0,0
1798.0,1576135132603,3,0,0
1923.0,1576135133053,3,0,0
2012.0,1576135133503,3,0,0
2099.5,1576135133953,3,0,0
2205.0,1576135134403,3,0,0
2277.5,1576135134853,3,0,0
2340.5,1576135135303,3,0,0
2410.5,1576135135753,3,0,0
1951.0,1576135136203,3,0,0
1889.0,1576135136653,3,0,0
1867.0,1576135137103,1,0,0
1864.0,1576135137553,1,0,0
1882.0,1576135138003,1,0,0
1890.0,1576135138453,1,0,0
1891.5,1576135138903,1,0,0
1975.0,1576135139354,1,0,0
2157.5,1576135139803,1,0,0
2161.5,1576135140253,1,0,0
1976.0,1576135140704,1,0,0
1903.5,1576135141154,1,0,0
1789.0,1576135141604,1,0,0
1827.5,1576135142053,1,0,0
1858.0,1576135142503,1,0,0
1895.5,1576135142953,1,0,0
1967.5,1576135143403,1,0,0
2026.0,1576135143854,1,0,0
2080.0,1576135144303,1,0,0
2137.5,1576135144753,1,0,0
2165.5,1576135145203,1,0,0
2061.0,1576135145653,1,0,0
1844.0,1576135146103,1,0,0
1801.0,1576135146553,1,0,0
1633.5,1576135147004,1,0,0
1648.0,1576135147453,1,0,0
1650.0,1576135147903,1,0,0
1667.5,1576135148353,4,0,0
1675.5,1576135148803,4,0,0
1666.0,1576135149253,4,0,0
1645.0,1576135149703,4,0,0
1634.5,1576135150153,4,0,0
1625.5,1576135150603,4,0,0
1624.5,1576135151053,4,0,0
1640.5,1576135151503,4,0,0
1644.5,1576135151953,4,0,0
1664.0,1576135152403,4,0,0
1671.5,1576135152853,4,0,0
1687.0,1576135153303,4,0,0
1693.5,1576135153753,4,0,0
1701.5,1576135154203,4,0,0
1707.0,1576135154653,4,0,0
1715.5,1576135155103,4,0,0
1727.5,1576135155554,4,0,0
1711.5,1576135156013,4,0,0
1706.5,1576135156473,1,0,0
1696.5,1576135156923,1,0,0
1691.0,1576135157373,1,0,0
1699.0,1576135157823,1,0,0
1690.0,1576135158273,1,0,0
1704.0,1576135158723,1,0,0
1811.0,1576135159173,1,0,0
2560.0,1576135159623,1,0,0
2587.0,1576135160073,1,0,0
2477.0,1576135160523,1,0,0
2512.0,1576135160974,1,0,0
2563.0,1576135161423,1,0,0
2599.5,1576135161873,1,0,0
2616.0,1576135162323,1,0,0
2633.0,1576135162774,1,0,0
2685.0,1576135163224,1,0,0
2735.0,1576135163673,1,0,0
2788.0,1576135164123,1,0,0
2824.0,1576135164573,1,0,0
2866.5,1576135165024,1,0,0
2892.5,1576135165473,1,0,0
2906.0,1576135165923,1,0,0
2926.0,1576135166373,1,0,0
2947.0,1576135166823,1,0,0
2963.5,1576135167273,1,0,0
2983.0,1576135167723,1,0,0
2678.0,1576135168173,1,0,0
2329.0,1576135168633,1,0,0
2299.0,1576135169083,1,0,0
2185.5,1576135169533,1,0,0
2180.5,1576135169983,1,0,0
2185.0,1576135170433,1,0,0
2184.0,1576135170883,1,0,0
2170.0,1576135171334,1,0,0
2120.0,1576135171783,1,0,0
2108.0,1576135172233,1,0,0
2076.0,1576135172683,1,0,0
2053.5,1576135173133,1,0,0
2025.0,1576135173583,1,0,0
2006.0,1576135174033,1,0,0
1981.0,1576135174483,1,0,0
1963.5,1576135174933,1,0,0
1947.0,1576135175383,1,0,0
1943.5,1576135175833,1,0,0
1940.5,1576135176283,1,0,0
1940.5,1576135176733,1,0,0
1948.5,1576135177183,1,0,0
1965.0,1576135177633,1,0,0
1975.5,1576135178083,1,0,0
1982.5,1576135178533,1,0,0
2003.5,1576135178983,1,0,0
2000.0,1576135179433,1,0,0
2013.0,1576135179883,1,0,0
2007.0,1576135180333,1,0,0
2016.5,1576135180783,1,0,0
2015.0,1576135181233,1,0,0
2009.5,1576135181684,1,0,0
1997.0,1576135182133,1,0,0
1988.0,1576135182583,1,0,0
1980.5,1576135183033,1,0,0
1963.0,1576135183483,1,0,0
1934.5,1576135183933,1,0,0
1929.5,1576135184383,1,0,0
1921.0,1576135184834,1,0,0
1924.0,1576135185284,1,0,0
1924.5,1576135185733,1,0,0
1932.0,1576135186183,1,0,0
1926.0,1576135186633,1,0,0
1929.0,1576135187083,1,0,0
1922.0,1576135187533,1,0,0
1916.5,1576135187983,1,0,0
1912.5,1576135188433,1,0,0
1908.5,1576135188883,1,0,0
1904.0,1576135189334,1,0,0
1894.0,1576135189783,1,0,0
1895.0,1576135190234,1,0,0
1902.5,1576135190683,1,0,0
1906.0,1576135191134,1,0,0
1915.0,1576135191584,1,0,0
1914.0,1576135192033,1,0,0
1619.5,1576135192484,1,0,0
1620.0,1576135192934,1,0,0
1461.5,1576135193393,1,0,0
1465.5,1576135193844,1,0,0
1460.0,1576135194293,1,0,0
1478.5,1576135194743,1,0,0
1703.5,1576135195193,1,0,0
1793.0,1576135195643,1,0,0
1513.0,1576135196093,1,0,0
1438.5,1576135196543,1,0,0
1620.0,1576135196993,1,0,0
1509.0,1576135197444,1,0,0
1436.5,1576135197893,1,0,0
1438.5,1576135198343,1,0,0
1440.0,1576135198793,1,0,0
1451.5,1576135199243,1,0,0
1546.0,1576135199693,1,0,0
2180.0,1576135200143,1,0,0
2191.0,1576135200594,1,0,0
2021.5,1576135201044,1,0,0
2048.5,1576135201493,1,0,0
2089.0,1576135201944,1,0,0
2129.5,1576135202395,1,0,0
2149.5,1576135202844,1,0,0
2153.5,1576135203294,1,0,0
1971.0,1576135203744,1,0,0
1754.0,1576135204194,1,0,0
1678.5,1576135204643,1,0,0
1600.0,1576135205093,1,0,0
1612.0,1576135205544,1,0,0
1579.5,1576135205993,1,0,0
1577.0,1576135206444,1,0,0
1572.0,1576135206894,1,0,0
1565.0,1576135207344,1,0,0
1561.5,1576135207794,1,0,0
1561.0,1576135208244,1,0,0
1575.0,1576135208694,1,0,0
1584.5,1576135209144,1,0,0
2367.5,1576135209594,1,0,0
2339.0,1576135210044,1,0,0
2198.0,1576135210494,1,0,0
2217.0,1576135210944,1,0,0
2230.0,1576135211394,1,0,0
1925.0,1576135211844,1,0,0
1942.0,1576135212294,1,0,0
1730.5,1576135212744,1,0,0
1751.5,1576135213194,1,0,0
1751.0,1576135213644,1,0,0
1775.0,1576135214104,1,0,0
1791.5,1576135214564,1,0,0
1801.5,1576135215014,1,0,0
1826.5,1576135215464,1,0,0
1842.5,1576135215914,1,0,0
1858.5,1576135216364,1,0,0
1848.0,1576135216814,1,0,0
1850.0,1576135217274,1,0,0
1817.0,1576135217724,1,0,0
1457.0,1576135218174,1,0,0
1422.5,1576135218624,1,0,0
1388.5,1576135219074,1,0,0
1362.0,1576135219524,1,0,0
1348.0,1576135219974,1,0,0
1342.0,1576135220424,1,0,0
1311.0,1576135220874,1,0,0
1295.5,1576135221324,1,0,0
1283.0,1576135221774,1,0,0
1282.5,1576135222224,1,0,0
1267.5,1576135222674,1,0,0
1281.5,1576135223124,1,0,0
1279.5,1576135223574,1,0,0
1287.0,1576135224024,1,0,0
1287.0,1576135224494,1,0,0
1291.0,1576135224944,1,0,0
1275.5,1576135225394,1,0,0
1340.0,1576135225844,1,0,0
1565.0,1576135226294,1,0,0
1549.0,1576135226744,1,0,0
1527.0,1576135227194,1,0,0
1487.0,1576135227644,1,0,0
1489.0,1576135228094,1,0,0
1471.5,1576135228544,1,0,0
1447.0,1576135228994,1,0,0
1418.5,1576135229445,1,0,0
1396.5,1576135229894,1,0,0
1371.0,1576135230344,1,0,0
1339.0,1576135230794,1,0,0
1310.0,1576135231244,1,0,0
1284.0,1576135231694,1,0,0
1256.5,1576135232144,1,0,0
1230.0,1576135232594,1,0,0
1200.0,1576135233044,1,0,0
1171.5,1576135233494,1,0,0
1226.5,1576135233944,1,0,0
1387.5,1576135234394,1,0,0
1327.0,1576135234844,1,0,0
1274.0,1576135235294,1,0,0
1224.0,1576135235744,1,0,0
1163.0,1576135236194,1,0,0
1145.5,1576135236644,1,0,0
1219.0,1576135237094,1,0,0
1109.5,1576135237544,1,0,0
1065.0,1576135237994,5,0,0
1036.0,1576135238444,5,0,0
1283.0,1576135238894,5,0,0
1616.0,1576135239344,5,0,0
1745.0,1576135239794,5,0,0
1837.5,1576135240244,5,0,0
1982.0,1576135240694,5,0,0
2127.0,1576135241144,5,0,0
2156.0,1576135241594,5,0,0
2026.5,1576135242044,5,0,0
1975.5,1576135242494,5,0,0
1778.0,1576135242944,5,0,0
1845.5,1576135243394,5,0,0
1871.0,1576135243844,5,0,0
1892.5,1576135244294,5,0,0
1905.0,1576135244754,5,0,0
1933.5,1576135245204,5,0,0
1952.0,1576135245654,5,0,0
1958.5,1576135246104,5,0,0
1971.0,1576135246554,5,0,0
2004.5,1576135247004,5,0,0
1620.5,1576135247454,5,0,0
1648.5,1576135247904,5,0,0
1559.0,1576135248354,5,0,0
1521.5,1576135248804,5,0,0
1523.5,1576135249254,5,0,0
1517.5,1576135249704,5,0,0
1522.0,1576135250154,5,0,0
1500.0,1576135250604,5,0,0
1454.0,1576135251054,5,0,0
1381.5,1576135251504,1,0,0
1346.5,1576135251954,1,0,0
1318.5,1576135252405,1,0,0
1298.0,1576135252854,1,0,0
1256.5,1576135253304,1,0,0
1196.0,1576135253754,1,0,0
1227.5,1576135254204,3,0,0
1367.0,1576135254654,3,0,0
1193.5,1576135255104,3,0,0
1145.0,1576135255554,3,0,0
1080.0,1576135256004,3,0,0
1111.5,1576135256454,3,0,0
1672.0,1576135256904,3,0,0
2151.0,1576135257354,3,0,0
2494.0,1576135257805,3,0,0
2293.5,1576135258254,3,0,0
2032.5,1576135258704,3,0,0
1807.5,1576135259154,3,0,0
1858.0,1576135259604,3,0,0
1961.5,1576135260054,3,0,0
1749.5,1576135260504,3,0,0
1845.0,1576135260954,3,0,0
1824.0,1576135261404,3,0,0
1830.5,1576135261854,3,0,0
1820.5,1576135262304,3,0,0
1786.0,1576135262754,3,0,0
1814.5,1576135263204,3,0,0
1846.5,1576135263654,3,0,0
1887.5,1576135264104,3,0,0
1933.0,1576135264565,3,0,0
1976.0,1576135265014,3,0,0
1977.5,1576135265464,3,0,0
1972.5,1576135265914,3,0,0
1830.5,1576135266364,3,0,0
1397.5,1576135266814,1,0,0
1286.5,1576135267264,1,0,0
1383.0,1576135267714,1,0,0
1358.5,1576135268164,1,0,0
1344.5,1576135268614,1,0,0
1344.5,1576135269064,1,0,0
1327.0,1576135269514,1,0,0
1315.0,1576135269964,1,0,0
1304.0,1576135270414,1,0,0
1297.5,1576135270865,1,0,0
1296.5,1576135271314,1,0,0
1295.5,1576135271764,1,0,0
1300.5,1576135272214,1,0,0
1313.5,1576135272664,1,0,0
