acceleration_data,Timestamp,Action,Bump,Traffic congestion
0.255,1577001630675,3,0,0
0.712,1577001631115,3,0,0
0.769,1577001631605,3,0,0
0.732,1577001632045,3,0,0
0.673,1577001632535,3,0,0
0.59,1577001632975,3,0,0
0.508,1577001633465,3,0,0
0.512,1577001633905,3,0,0
0.464,1577001634395,3,0,0
0.45,1577001634835,3,0,0
0.486,1577001635325,3,0,0
0.47700000000000004,1577001635765,3,0,0
0.47500000000000003,1577001636255,3,0,0
0.458,1577001636695,3,0,0
0.385,1577001637185,3,0,0
0.404,1577001637625,3,0,0
0.402,1577001638115,3,0,0
0.32,1577001638565,3,0,0
0.289,1577001639055,3,0,0
0.249,1577001639495,3,0,0
0.215,1577001639995,3,0,0
0.234,1577001640435,3,0,0
0.231,1577001640928,1,0,0
0.18,1577001641365,1,0,0
-0.098,1577001641855,1,0,0
-0.254,1577001642295,1,0,0
-0.18,1577001642785,4,0,0
-0.113,1577001643225,4,0,0
-0.085,1577001643715,4,0,0
-0.079,1577001644155,4,0,0
-0.081,1577001644645,4,0,0
-0.058,1577001645085,4,0,0
-0.049,1577001645575,4,0,0
-0.048,1577001646015,4,0,0
0.003,1577001646505,4,0,0
0.081,1577001646945,4,0,0
0.20700000000000002,1577001647435,4,0,0
0.29,1577001647885,4,0,0
0.291,1577001648375,4,0,0
0.318,1577001648815,4,0,0
0.359,1577001649305,1,0,0
0.375,1577001649745,1,0,0
0.355,1577001650235,1,0,0
0.373,1577001650675,1,0,0
0.387,1577001651165,1,0,0
0.375,1577001651605,1,0,0
0.47400000000000003,1577001652095,1,0,0
0.443,1577001652535,1,0,0
0.28,1577001653025,1,0,0
0.14100000000000001,1577001653465,1,0,0
0.064,1577001653955,1,0,0
0.083,1577001654395,1,0,0
0.108,1577001654885,1,0,0
0.152,1577001655325,1,0,0
0.154,1577001655815,1,0,0
0.187,1577001656255,1,0,0
0.169,1577001656745,1,0,0
0.164,1577001657185,1,0,0
0.162,1577001657675,1,0,0
0.15,1577001658115,1,0,0
0.146,1577001658605,1,0,0
0.158,1577001659045,1,0,0
0.166,1577001659535,1,0,0
0.147,1577001659985,1,0,0
0.17400000000000002,1577001660475,1,0,0
0.128,1577001660915,1,0,0
0.127,1577001661405,1,0,0
0.131,1577001661845,1,0,0
0.123,1577001662335,1,0,0
0.14400000000000002,1577001662775,1,0,0
0.127,1577001663265,1,0,0
0.181,1577001663705,1,0,0
0.156,1577001664195,1,0,0
0.178,1577001664635,1,0,0
0.1,1577001665125,1,0,0
-0.089,1577001665565,1,0,0
-0.152,1577001666055,1,0,0
-0.078,1577001666495,1,0,0
-0.011,1577001666985,1,0,0
0.004,1577001667425,1,0,0
-0.107,1577001667915,4,0,0
-0.248,1577001668355,4,0,0
-0.269,1577001668845,4,0,0
-0.12,1577001669285,4,0,0
-0.02,1577001669775,4,0,0
0.046,1577001670215,4,0,0
0.065,1577001670705,4,0,0
0.125,1577001671145,4,0,0
0.131,1577001671635,4,0,0
0.14200000000000002,1577001672075,4,0,0
0.162,1577001672565,4,0,0
0.202,1577001673005,4,0,0
0.20700000000000002,1577001673495,4,0,0
0.171,1577001673935,4,0,0
0.227,1577001674425,1,0,0
0.197,1577001674865,1,0,0
0.177,1577001675355,1,0,0
0.167,1577001675795,1,0,0
0.186,1577001676285,1,0,0
0.02,1577001676725,1,0,0
-0.165,1577001677215,1,0,0
-0.192,1577001677655,1,0,0
-0.115,1577001678145,1,0,0
-0.067,1577001678585,1,0,0
-0.077,1577001679085,1,0,0
-0.058,1577001679525,1,0,0
-0.161,1577001680015,1,0,0
-0.09,1577001680458,1,0,0
-0.113,1577001680945,1,0,0
-0.07200000000000001,1577001681385,1,0,0
-0.122,1577001681875,1,0,0
-0.272,1577001682315,1,0,0
-0.292,1577001682805,1,0,0
-0.23600000000000002,1577001683245,1,0,0
-0.111,1577001683735,1,0,0
-0.077,1577001684175,1,0,0
-0.037,1577001684665,1,0,0
-0.026000000000000002,1577001685115,1,0,0
-0.003,1577001685605,1,0,0
-0.054,1577001686045,1,0,0
-0.15,1577001686535,1,0,0
-0.336,1577001686975,1,0,0
-0.51,1577001687465,1,0,0
-0.5760000000000001,1577001687905,1,0,0
-0.644,1577001688405,1,0,0
-0.596,1577001688855,1,0,0
-0.781,1577001689355,1,0,0
-0.79,1577001689805,1,0,0
-0.68,1577001690295,1,0,0
-0.59,1577001690735,1,0,0
-0.585,1577001691225,1,0,0
-0.59,1577001691665,1,0,0
-0.56,1577001692155,1,0,0
-0.5700000000000001,1577001692595,1,0,0
-0.5700000000000001,1577001693085,1,0,0
-0.5640000000000001,1577001693535,1,0,0
-0.5730000000000001,1577001694025,1,0,0
-0.5,1577001694475,1,0,0
-0.513,1577001694965,1,0,0
-0.494,1577001695415,1,0,0
-0.445,1577001695905,1,0,0
-0.308,1577001696355,1,0,0
-0.171,1577001696845,1,0,0
-0.07100000000000001,1577001697285,1,0,0
-0.017,1577001697775,1,0,0
0.026000000000000002,1577001698215,1,0,0
0.051000000000000004,1577001698715,1,0,0
0.079,1577001699175,1,0,0
0.08,1577001699665,1,0,0
0.067,1577001700105,1,0,0
-0.06,1577001700595,1,0,0
-0.502,1577001701035,1,0,0
-1.175,1577001701535,1,0,0
-1.1260000000000001,1577001701995,1,0,0
-1.176,1577001702485,1,0,0
-1.407,1577001702925,1,0,0
-1.323,1577001703415,1,0,0
-1.157,1577001703855,1,0,0
-0.715,1577001704345,1,0,0
-0.39,1577001704785,1,0,0
-0.209,1577001705275,1,0,0
0.15,1577001705715,1,0,0
0.737,1577001706215,1,0,0
1.08,1577001706655,1,0,0
1.299,1577001707145,1,0,0
1.344,1577001707595,1,0,0
0.932,1577001708085,1,0,0
0.66,1577001708535,1,0,0
0.762,1577001709025,1,0,0
0.763,1577001709465,1,0,0
0.7000000000000001,1577001709955,2,0,0
0.419,1577001710395,2,0,0
0.212,1577001710905,2,0,0
0.23500000000000001,1577001711345,2,0,0
0.359,1577001711835,2,0,0
0.47100000000000003,1577001712275,2,0,0
0.5650000000000001,1577001712765,2,0,0
0.618,1577001713205,2,0,0
0.515,1577001713695,2,0,0
0.364,1577001714135,2,0,0
0.11800000000000001,1577001714625,2,0,0
-0.095,1577001715064,2,0,0
-0.188,1577001715555,2,0,0
-0.34400000000000003,1577001715995,2,0,0
-0.194,1577001716485,2,0,0
0.25,1577001716925,2,0,0
0.445,1577001717415,2,0,0
0.518,1577001717855,2,0,0
0.682,1577001718344,1,0,0
0.555,1577001718785,1,0,0
0.523,1577001719284,1,0,0
0.529,1577001719724,1,0,0
0.47800000000000004,1577001720215,1,0,0
0.502,1577001720656,1,0,0
0.616,1577001721144,1,0,0
0.602,1577001721584,1,0,0
0.656,1577001722094,1,0,0
0.498,1577001722535,1,0,0
0.28200000000000003,1577001723025,1,0,0
0.272,1577001723464,1,0,0
0.454,1577001723955,1,0,0
0.37,1577001724395,1,0,0
0.11,1577001724884,1,0,0
0.014,1577001725324,1,0,0
0.085,1577001725814,1,0,0
0.127,1577001726255,1,0,0
0.162,1577001726744,1,0,0
0.019,1577001727184,1,0,0
-0.184,1577001727675,1,0,0
-0.124,1577001728115,1,0,0
0.034,1577001728615,1,0,0
0.10300000000000001,1577001729055,1,0,0
0.134,1577001729544,1,0,0
0.109,1577001729984,1,0,0
-0.064,1577001730484,1,0,0
-0.228,1577001730924,1,0,0
-0.273,1577001731415,1,0,0
-0.193,1577001731855,1,0,0
-0.248,1577001732344,1,0,0
-0.265,1577001732794,1,0,0
-0.381,1577001733284,1,0,0
-0.462,1577001733724,1,0,0
-0.514,1577001734214,1,0,0
-0.489,1577001734655,1,0,0
-0.936,1577001735144,1,0,0
-1.542,1577001735584,1,0,0
-1.569,1577001736074,1,0,0
-1.249,1577001736514,1,0,0
-0.989,1577001737004,1,0,0
-0.724,1577001737444,1,0,0
-0.518,1577001737934,1,0,0
-0.40700000000000003,1577001738374,1,0,0
-0.309,1577001738864,1,0,0
-0.311,1577001739314,1,0,0
-0.355,1577001739804,1,0,0
-0.314,1577001740244,1,0,0
-0.14400000000000002,1577001740735,-1,0,0
-0.107,1577001741174,-1,0,0
-0.126,1577001741664,-1,0,0
-0.231,1577001742114,-1,0,0
-0.256,1577001742604,-1,0,0
-0.10200000000000001,1577001743044,-1,0,0
0.163,1577001743534,1,0,0
0.158,1577001743974,1,0,0
-0.298,1577001744464,1,0,0
-1.063,1577001744914,1,0,0
-1.346,1577001745405,1,0,0
-1.5030000000000001,1577001745844,1,0,0
-1.295,1577001746334,1,0,0
-0.778,1577001746775,1,0,0
-0.41300000000000003,1577001747264,1,0,0
-0.195,1577001747705,-1,0,0
0.28400000000000003,1577001748194,-1,0,0
0.769,1577001748634,-1,0,0
1.159,1577001749124,-1,0,0
1.306,1577001749564,-1,0,0
1.371,1577001750055,-1,0,0
1.301,1577001750494,1,0,0
1.149,1577001750984,1,0,0
1.065,1577001751424,1,0,0
1.099,1577001751914,1,0,0
1.086,1577001752354,1,0,0
1.106,1577001752844,1,0,0
1.071,1577001753284,1,0,0
0.988,1577001753774,1,0,0
0.927,1577001754214,1,0,0
0.84,1577001754705,1,0,0
0.744,1577001755144,1,0,0
0.737,1577001755635,1,0,0
0.675,1577001756074,1,0,0
0.749,1577001756564,1,0,0
0.837,1577001757004,1,0,0
0.856,1577001757494,1,0,0
0.5,1577001757934,1,0,0
0.232,1577001758424,1,0,0
0.025,1577001758874,1,0,0
-0.146,1577001759364,4,0,0
-0.184,1577001759804,4,0,0
-0.122,1577001760294,4,0,0
0.047,1577001760734,4,0,0
0.14400000000000002,1577001761224,4,0,0
0.221,1577001761674,4,0,0
0.261,1577001762174,4,0,0
0.352,1577001762614,4,0,0
0.372,1577001763104,4,0,0
0.436,1577001763544,4,0,0
0.451,1577001764034,8,0,0
0.485,1577001764474,8,0,0
0.47400000000000003,1577001764964,8,0,0
0.251,1577001765414,8,0,0
-0.009000000000000001,1577001765904,8,0,0
0.014,1577001766344,8,0,0
0.134,1577001766834,8,0,0
0.20600000000000002,1577001767274,8,0,0
0.17500000000000002,1577001767764,8,0,0
-0.003,1577001768204,8,0,0
0.022,1577001768694,8,0,0
0.137,1577001769134,8,0,0
0.229,1577001769624,8,0,0
0.28400000000000003,1577001770074,8,0,0
0.303,1577001770564,8,0,0
0.315,1577001771004,8,0,0
0.353,1577001771494,8,0,0
0.23900000000000002,1577001771934,8,0,0
0.025,1577001772424,8,0,0
-0.198,1577001772864,8,0,0
-1.216,1577001773354,8,0,0
-2.1,1577001773794,8,0,0
