DT_tiltAccAngle,Timestamp,Action,Bump,Traffic congestion
0.0,1569398191939.0,3,0,0
0.0,1569398192391.0,3,0,0
0.0,1569398192852.0,3,0,0
0.0,1569398193311.0,3,0,0
0.0,1569398193771.0,3,0,0
0.0,1569398194231.0,3,0,0
0.0,1569398194691.0,3,0,0
0.0,1569398195151.0,3,0,0
0.0,1569398195611.0,3,0,0
0.0,1569398196071.0,2,0,0
0.0,1569398196532.0,2,0,0
0.0,1569398196991.0,2,0,0
0.0,1569398197478.0,2,0,0
0.0,1569398197921.0,2,0,0
0.0,1569398198381.0,2,0,0
0.0,1569398198853.0,2,0,0
0.0,1569398199313.0,2,0,0
0.0,1569398199771.0,2,0,0
0.0,1569398200231.0,2,0,0
0.0,1569398200691.0,2,0,0
0.0,1569398201151.0,1,0,0
0.0,1569398201611.0,1,0,0
0.0,1569398202081.0,1,0,0
0.0,1569398202541.0,1,0,0
0.0,1569398203001.0,1,0,0
0.0,1569398203461.0,1,0,0
0.0,1569398203921.0,1,0,0
0.0,1569398204381.0,1,0,0
0.0,1569398204881.0,1,0,0
0.0,1569398205301.0,1,0,0
0.0,1569398205751.0,1,0,0
0.0,1569398206211.0,3,0,0
0.0,1569398206671.0,3,0,0
0.0,1569398207131.0,3,0,0
0.0,1569398207591.0,3,0,0
0.0,1569398208074.0,3,0,0
0.0,1569398208511.0,3,0,0
0.0,1569398208961.0,3,0,0
0.0,1569398209421.0,3,0,0
0.0,1569398209892.0,3,0,0
0.0,1569398210351.0,1,0,0
0.0,1569398210811.0,1,0,0
0.0,1569398211271.0,1,0,0
0.0,1569398211732.0,1,0,0
0.0,1569398212191.0,1,0,0
0.0,1569398212651.0,1,0,0
0.0,1569398213110.0,4,0,0
0.0,1569398213571.0,4,0,0
0.0,1569398214031.0,4,0,0
0.0,1569398214491.0,4,0,0
0.0,1569398214952.0,4,0,0
0.0,1569398215447.0,4,0,0
0.0,1569398215881.0,4,0,0
0.0,1569398216341.0,4,0,0
0.0,1569398216801.0,4,0,0
