DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
1058.0,1569321080377.0,1,0,0
1011.0,1569321080847.0,1,0,0
952.0,1569321081307.0,6,0,0
896.0,1569321081782.0,6,0,0
931.0,1569321082227.0,6,0,0
1055.0,1569321082687.0,6,0,0
1146.5,1569321083137.0,6,0,0
1188.0,1569321083597.0,6,0,0
1214.0,1569321084057.0,6,0,0
1232.5,1569321084516.0,6,0,0
1218.0,1569321084977.0,6,0,0
1209.0,1569321085447.0,6,0,0
1201.5,1569321085897.0,6,0,0
1198.5,1569321086357.0,6,0,0
1187.0,1569321086817.0,6,0,0
1156.5,1569321087277.0,6,0,0
1145.5,1569321087736.0,6,0,0
1166.5,1569321088222.0,6,0,0
1199.0,1569321088657.0,6,0,0
1236.5,1569321089117.0,6,0,0
1298.5,1569321089577.0,1,0,0
1321.5,1569321090037.0,1,0,0
1340.5,1569321090497.0,1,0,0
1354.0,1569321090957.0,1,0,0
1392.5,1569321091417.0,5,0,0
1406.5,1569321091877.0,5,0,0
1375.5,1569321092338.0,5,0,0
1372.5,1569321092807.0,5,0,0
1358.5,1569321093267.0,5,0,0
1360.0,1569321093727.0,5,0,0
1413.0,1569321094187.0,5,0,0
1448.0,1569321094637.0,5,0,0
1475.5,1569321095097.0,5,0,0
1429.5,1569321095557.0,5,0,0
1403.0,1569321096007.0,5,0,0
1358.0,1569321096477.0,5,0,0
1339.5,1569321096937.0,1,0,0
1303.0,1569321097397.0,1,0,0
1287.0,1569321097857.0,1,0,0
1280.0,1569321098319.0,1,0,0
1272.0,1569321098783.0,1,0,0
1275.5,1569321099703.0,1,0,0
1272.0,1569321100157.0,1,0,0
1263.0,1569321100617.0,1,0,0
1250.5,1569321101077.0,1,0,0
1143.5,1569321101537.0,1,0,0
1046.0,1569321102011.0,1,0,0
991.5,1569321102457.0,6,0,0
955.5,1569321102917.0,6,0,0
897.0,1569321103377.0,6,0,0
877.0,1569321103837.0,6,0,0
870.5,1569321104297.0,6,0,0
865.5,1569321104757.0,6,0,0
1108.5,1569321105217.0,6,0,0
1476.0,1569321105676.0,6,0,0
1629.5,1569321106137.0,6,0,0
1741.5,1569321106586.0,6,0,0
1743.5,1569321107047.0,6,0,0
1698.0,1569321107507.0,6,0,0
1673.5,1569321107967.0,6,0,0
1673.5,1569321108427.0,6,0,0
1705.5,1569321108887.0,6,0,0
1733.0,1569321109348.0,6,0,0
1869.0,1569321109817.0,6,0,0
1974.0,1569321110277.0,6,0,0
1933.0,1569321110737.0,6,0,0
1457.0,1569321111197.0,6,0,0
1437.5,1569321111657.0,6,0,0
1466.5,1569321112117.0,6,0,0
1510.5,1569321112577.0,1,0,0
1542.0,1569321113038.0,1,0,0
1574.5,1569321113497.0,1,0,0
1609.5,1569321113957.0,1,0,0
1641.5,1569321114417.0,1,0,0
1598.5,1569321114876.0,1,0,0
1589.0,1569321115337.0,1,0,0
1507.5,1569321115797.0,1,0,0
1371.0,1569321116267.0,1,0,0
1244.5,1569321116727.0,5,0,0
1118.0,1569321117187.0,5,0,0
1069.0,1569321117647.0,5,0,0
1031.0,1569321118107.0,5,0,0
966.5,1569321118567.0,5,0,0
933.0,1569321119027.0,5,0,0
916.0,1569321119487.0,5,0,0
897.5,1569321119947.0,5,0,0
1122.0,1569321120407.0,5,0,0
1471.0,1569321120866.0,5,0,0
1438.5,1569321121336.0,5,0,0
1325.5,1569321121797.0,5,0,0
1244.0,1569321122247.0,5,0,0
1140.0,1569321122706.0,5,0,0
1040.0,1569321123200.0,5,0,0
1000.0,1569321123627.0,6,0,0
950.0,1569321124097.0,6,0,0
922.0,1569321124557.0,6,0,0
868.5,1569321125016.0,6,0,0
859.0,1569321125477.0,6,0,0
846.0,1569321125937.0,6,0,0
957.5,1569321126397.0,6,0,0
1232.5,1569321126857.0,6,0,0
1535.5,1569321127333.0,6,0,0
1690.0,1569321127788.0,6,0,0
1743.0,1569321128247.0,6,0,0
1702.5,1569321128706.0,6,0,0
1602.0,1569321129166.0,6,0,0
1503.0,1569321129626.0,6,0,0
1422.0,1569321130087.0,6,0,0
1397.5,1569321130551.0,6,0,0
1395.0,1569321131017.0,6,0,0
1483.0,1569321131477.0,6,0,0
1579.5,1569321131936.0,6,0,0
1634.0,1569321132396.0,6,0,0
1715.0,1569321132858.0,6,0,0
1947.5,1569321133316.0,6,0,0
2271.0,1569321133781.0,1,0,0
1847.5,1569321134237.0,1,0,0
1645.0,1569321134705.0,1,0,0
1592.5,1569321135156.0,1,0,0
1642.0,1569321135616.0,1,0,0
1683.5,1569321136076.0,1,0,0
1730.0,1569321136538.0,1,0,0
1788.0,1569321136996.0,1,0,0
1817.5,1569321137466.0,1,0,0
1855.0,1569321137930.0,1,0,0
1888.0,1569321138388.0,1,0,0
1919.5,1569321138858.0,1,0,0
1944.0,1569321139318.0,1,0,0
1994.0,1569321139784.0,1,0,0
1962.5,1569321140238.0,1,0,0
1880.0,1569321140698.0,1,0,0
1815.0,1569321141158.0,1,0,0
1635.0,1569321141618.0,1,0,0
1461.0,1569321142078.0,1,0,0
1309.5,1569321142538.0,1,0,0
1198.5,1569321142988.0,1,0,0
1161.5,1569321143447.0,1,0,0
1105.5,1569321143907.0,1,0,0
1013.5,1569321144367.0,3,0,0
972.5,1569321144827.0,3,0,0
930.5,1569321145290.0,3,0,0
896.0,1569321145757.0,3,0,0
898.0,1569321146216.0,3,0,0
1115.5,1569321146677.0,3,0,0
1424.5,1569321147137.0,3,0,0
1480.5,1569321147607.0,3,0,0
1424.5,1569321148057.0,3,0,0
1289.5,1569321148546.0,3,0,0
1192.5,1569321148987.0,3,0,0
1138.0,1569321149447.0,3,0,0
1069.0,1569321149917.0,1,0,0
991.5,1569321150379.0,1,0,0
949.5,1569321150837.0,1,0,0
922.0,1569321151297.0,1,0,0
899.0,1569321151757.0,1,0,0
873.5,1569321152217.0,1,0,0
855.0,1569321152677.0,1,0,0
859.0,1569321153137.0,1,0,0
839.0,1569321153597.0,1,0,0
827.5,1569321154067.0,6,0,0
815.5,1569321154527.0,6,0,0
844.5,1569321154987.0,6,0,0
1160.5,1569321155447.0,6,0,0
1870.5,1569321155927.0,6,0,0
2048.5,1569321156366.0,6,0,0
2077.5,1569321156827.0,6,0,0
1704.0,1569321157278.0,6,0,0
1325.5,1569321157747.0,6,0,0
1257.0,1569321158197.0,6,0,0
1240.0,1569321158657.0,6,0,0
1229.5,1569321159126.0,6,0,0
1236.0,1569321159587.0,6,0,0
1249.0,1569321160048.0,1,0,0
1265.0,1569321160507.0,1,0,0
1316.0,1569321160966.0,1,0,0
1348.5,1569321161417.0,1,0,0
1373.0,1569321161876.0,1,0,0
1303.5,1569321162347.0,1,0,0
1231.0,1569321162798.0,1,0,0
1150.0,1569321163257.0,1,0,0
1068.0,1569321163716.0,1,0,0
991.5,1569321164177.0,1,0,0
938.0,1569321164636.0,2,0,0
918.0,1569321165097.0,2,0,0
878.0,1569321165558.0,2,0,0
862.5,1569321166018.0,2,0,0
843.5,1569321166543.0,2,0,0
844.5,1569321166938.0,2,0,0
1010.5,1569321167408.0,2,0,0
1112.0,1569321167867.0,2,0,0
1107.0,1569321168328.0,2,0,0
1166.0,1569321168788.0,2,0,0
1221.5,1569321169248.0,2,0,0
1264.0,1569321169718.0,2,0,0
1328.5,1569321170178.0,2,0,0
1351.5,1569321170638.0,2,0,0
1369.5,1569321171098.0,2,0,0
1406.0,1569321171558.0,1,0,0
1450.0,1569321172018.0,1,0,0
1468.5,1569321172488.0,5,0,0
1433.0,1569321172937.0,5,0,0
1356.5,1569321173398.0,5,0,0
1328.0,1569321173875.0,5,0,0
1438.0,1569321174318.0,5,0,0
1539.5,1569321174779.0,5,0,0
1614.5,1569321175239.0,5,0,0
1663.5,1569321175698.0,5,0,0
1716.5,1569321176158.0,5,0,0
1730.5,1569321176628.0,5,0,0
1738.0,1569321177088.0,5,0,0
1693.5,1569321177548.0,5,0,0
1575.0,1569321178008.0,5,0,0
1414.5,1569321178468.0,5,0,0
1254.5,1569321178928.0,1,0,0
1346.0,1569321179398.0,1,0,0
1385.0,1569321179858.0,1,0,0
1389.0,1569321180318.0,1,0,0
1375.5,1569321180778.0,1,0,0
1220.5,1569321181238.0,1,0,0
1140.5,1569321181699.0,1,0,0
1079.0,1569321182158.0,1,0,0
1003.5,1569321182618.0,1,0,0
966.0,1569321183078.0,6,0,0
934.0,1569321183538.0,6,0,0
870.0,1569321183998.0,6,0,0
861.0,1569321184458.0,6,0,0
846.5,1569321184918.0,6,0,0
830.5,1569321185378.0,6,0,0
869.5,1569321185848.0,6,0,0
1071.5,1569321186308.0,6,0,0
1674.0,1569321186768.0,6,0,0
1842.0,1569321187227.0,6,0,0
1936.5,1569321187706.0,6,0,0
2008.0,1569321188148.0,6,0,0
1624.5,1569321188609.0,6,0,0
1418.5,1569321189068.0,6,0,0
1399.0,1569321189528.0,6,0,0
1431.5,1569321189988.0,6,0,0
1456.5,1569321190448.0,6,0,0
1494.0,1569321190908.0,6,0,0
1552.0,1569321191368.0,6,0,0
1591.0,1569321191830.0,1,0,0
1630.0,1569321192287.0,1,0,0
1664.0,1569321192748.0,1,0,0
1597.0,1569321193208.0,1,0,0
1550.5,1569321193678.0,5,0,0
1431.5,1569321194138.0,5,0,0
1237.0,1569321194598.0,5,0,0
1130.0,1569321195058.0,5,0,0
1182.5,1569321195518.0,5,0,0
1498.0,1569321195978.0,5,0,0
1520.5,1569321196438.0,5,0,0
1569.5,1569321196898.0,5,0,0
1596.0,1569321197358.0,5,0,0
1587.5,1569321197818.0,5,0,0
1544.5,1569321198278.0,5,0,0
1538.5,1569321198737.0,5,0,0
1448.0,1569321199198.0,1,0,0
1361.5,1569321199658.0,1,0,0
1241.0,1569321200118.0,1,0,0
1085.0,1569321200578.0,1,0,0
1046.0,1569321201038.0,1,0,0
998.5,1569321201498.0,1,0,0
955.0,1569321201958.0,1,0,0
890.0,1569321202418.0,1,0,0
882.0,1569321202878.0,6,0,0
856.0,1569321203338.0,6,0,0
836.5,1569321203799.0,6,0,0
884.0,1569321204268.0,6,0,0
1236.5,1569321204728.0,6,0,0
1917.0,1569321205188.0,6,0,0
1998.0,1569321205648.0,6,0,0
