speed_data,Timestamp,Action,Bump,Traffic congestion
23,1576223737116,-1,0,0
23,1576223737566,-1,0,0
23,1576223738016,-1,0,0
23,1576223738466,-1,0,0
23,1576223738916,-1,0,0
22,1576223739366,-1,0,0
22,1576223739816,-1,0,0
20,1576223740266,-1,0,0
19,1576223740716,5,0,1
18,1576223741166,5,0,1
18,1576223741616,5,0,1
17,1576223742066,5,0,1
16,1576223742515,5,0,1
16,1576223742966,5,0,1
15,1576223743416,5,0,1
15,1576223743865,5,0,1
15,1576223744316,5,0,1
15,1576223744765,5,0,1
16,1576223745215,5,0,1
16,1576223745666,5,0,1
16,1576223746116,5,0,1
15,1576223746566,5,0,1
14,1576223747016,5,0,1
12,1576223747465,5,0,1
10,1576223747916,5,0,1
8,1576223748365,5,0,1
6,1576223748816,5,0,1
4,1576223749265,5,0,1
3,1576223749715,1,0,1
2,1576223750165,1,0,1
2,1576223750615,1,0,1
3,1576223751065,1,0,1
3,1576223751515,1,0,1
3,1576223751965,1,0,1
3,1576223752415,1,0,1
4,1576223752865,1,0,1
4,1576223753315,1,0,1
4,1576223753765,1,0,1
4,1576223754216,1,0,1
4,1576223754665,1,0,1
4,1576223755115,1,0,1
4,1576223755565,1,0,1
4,1576223756015,1,0,1
3,1576223756465,1,0,1
2,1576223756916,1,0,1
2,1576223757365,1,0,1
2,1576223757815,1,0,1
2,1576223758265,1,0,1
1,1576223758715,1,0,1
1,1576223759165,1,0,1
0,1576223759615,1,0,1
0,1576223760065,0,0,0
0,1576223760515,0,0,0
0,1576223760966,0,0,0
0,1576223761416,0,0,0
0,1576223761866,0,0,0
0,1576223762315,0,0,0
0,1576223762765,0,0,0
0,1576223763215,0,0,0
0,1576223763665,0,0,0
0,1576223764115,0,0,0
0,1576223764565,0,0,0
0,1576223765016,0,0,0
0,1576223765465,0,0,0
0,1576223765915,0,0,0
0,1576223766365,0,0,0
0,1576223766815,0,0,0
0,1576223767265,0,0,0
0,1576223767715,0,0,0
0,1576223768165,0,0,0
0,1576223768615,0,0,0
0,1576223769065,0,0,0
0,1576223769515,0,0,0
0,1576223769965,0,0,0
0,1576223770415,0,0,0
0,1576223770865,0,0,0
0,1576223771315,0,0,0
0,1576223771765,0,0,0
0,1576223772215,0,0,0
0,1576223772665,0,0,0
0,1576223773115,0,0,0
0,1576223773566,0,0,0
0,1576223774015,0,0,0
0,1576223774465,0,0,0
0,1576223774915,0,0,0
0,1576223775365,0,0,0
0,1576223775815,0,0,0
0,1576223776265,0,0,0
0,1576223776715,0,0,0
