X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Gyroscope,Y-axis Gyroscope,Z-axis Gyroscope, Timestamp,Action,BUMP,Traffic congestion
-0.213083, -0.347159, 8.76996, -3.228859, 0.558505, -2.146754, 1576140345641,0,0,0
-0.052672, -0.280121, 8.609549, -3.036872, -0.715584, -2.111848, 1576140345693,0,0,0
-0.134075, -0.330399, 8.353369, -3.071779, 0.541052, -1.972222, 1576140345745,0,0,0
-0.258573, -0.248996, 8.681375, -3.473205, 0.715584, -2.216568, 1576140345798,0,0,0
-0.181959, -0.330399, 8.710105, -3.263765, -0.575958, -2.286381, 1576140345850,0,0,0
-0.160411, -0.385466, 8.422801, -3.665191, 0.488692, -2.076941, 1576140345902,0,0,0
-0.083797, -0.272938, 8.662221, -3.543018, 0.925024, -2.059488, 1576140345955,0,0,0
-0.213083, -0.287304, 8.702923, -2.879793, -0.366519, -2.286381, 1576140346007,0,0,0
-0.076614, -0.229843, 8.458714, -3.106686, -0.034906, -1.972222, 1576140346060,0,0,0
-0.062249, -0.296881, 8.626308, -3.839724, 0.715584, -2.338741, 1576140346112,0,0,0
-0.26815, -0.414196, 8.738836, -3.019419, 0.226892, -1.972222, 1576140346164,0,0,0
-0.019153, -0.251391, 8.451531, -2.617993, -0.715584, -2.129301, 1576140346216,0,0,0
-0.052672, -0.203507, 8.480262, -3.281218, 1.151917, -1.884955, 1576140346269,0,0,0
-0.227449, -0.282515, 8.698134, -3.211405, 0.680678, -2.111848, 1576140346321,0,0,0
-0.105344, -0.280121, 8.559271, -2.426007, -0.331612, -2.391101, 1576140346373,0,0,0
-0.095768, -0.335188, 8.358158, -3.630284, 0.977384, -2.024581, 1576140346425,0,0,0
-0.189141, -0.323217, 8.74123, -3.595378, 0.785398, -2.460914, 1576140346478,0,0,0
-0.088585, -0.280121, 8.492233, -2.75762, -0.907571, -2.373647, 1576140346530,0,0,0
-0.093373, -0.220266, 8.461108, -3.368485, 0.331612, -2.234021, 1576140346582,0,0,0
-0.167594, -0.306457, 8.717288, -3.263765, 0.907571, -1.902408, 1576140346634,0,0,0
-0.141257, -0.308852, 8.66701, -3.019419, -0.349065, -2.54818, 1576140346687,0,0,0
-0.14844, -0.308852, 8.427589, -2.827433, -0.558505, -2.111848, 1576140346740,0,0,0
-0.210689, -0.397437, 8.69574, -3.333578, 1.01229, -2.286381, 1576140346792,0,0,0
-0.229843, -0.232237, 8.774749, -3.001966, -0.331612, -2.129301, 1576140346845,0,0,0
-0.07422, -0.251391, 8.470685, -3.193952, -0.541052, -2.216568, 1576140346897,0,0,0
-0.040701, -0.289698, 8.477868, -3.944444, 1.204277, -2.408554, 1576140346950,0,0,0
-0.265756, -0.258573, 8.750807, -2.967059, -0.191986, -1.867502, 1576140347002,0,0,0
-0.186747, -0.246602, 8.655039, -2.426007, -0.680678, -2.478367, 1576140347055,0,0,0
-0.062249, -0.325611, 8.48505, -3.351032, 1.256637, -2.199114, 1576140347107,0,0,0
-0.215478, -0.31364, 8.858546, -3.490658, 0.244346, -2.356194, 1576140347159,0,0,0
-0.191536, -0.304063, 8.611943, -2.775073, -0.977384, -2.303834, 1576140347212,0,0,0
-0.117315, -0.368707, 8.566453, -3.525565, 0.541052, -2.251474, 1576140347264,0,0,0
-0.172382, -0.225054, 8.607155, -3.508111, 0.994837, -2.44346, 1576140347316,0,0,0
