DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
-0.438,1569400685316.0,1,0,0
-0.5,1569400685778.0,1,0,0
-0.438,1569400686235.0,1,0,0
-0.219,1569400686696.0,1,0,0
-0.094,1569400687157.0,1,0,0
-0.032,1569400687617.0,1,0,0
-0.032,1569400688077.0,1,0,0
0.0,1569400688537.0,1,0,0
0.125,1569400688997.0,1,0,0
0.187,1569400689457.0,1,0,0
-0.8130000000000001,1569400689917.0,1,0,0
-1.594,1569400690386.0,1,0,0
-0.46900000000000003,1569400690837.0,1,0,0
-0.375,1569400691297.0,1,0,0
0.0,1569400691757.0,1,0,0
-0.094,1569400692216.0,1,0,0
0.156,1569400692677.0,1,0,0
0.843,1569400693136.0,2,1,0
0.656,1569400693597.0,2,1,0
0.062,1569400694056.0,2,1,0
-1.344,1569400694517.0,2,1,0
-0.188,1569400694986.0,2,1,0
-0.188,1569400695436.0,2,1,0
0.75,1569400695938.0,2,1,0
0.687,1569400696367.0,2,1,0
0.468,1569400696827.0,2,1,0
0.0,1569400697288.0,2,1,0
0.0,1569400697746.0,2,1,0
-0.157,1569400698197.0,2,1,0
-0.25,1569400698665.0,2,1,0
-0.34400000000000003,1569400699126.0,2,1,0
-0.40700000000000003,1569400699587.0,2,1,0
-0.5,1569400700047.0,2,1,0
-0.032,1569400700496.0,2,1,0
0.187,1569400700957.0,2,1,0
0.156,1569400701426.0,2,1,0
0.156,1569400701887.0,2,1,0
0.031,1569400702346.0,2,1,0
-0.28200000000000003,1569400702807.0,2,1,0
-0.032,1569400703267.0,2,1,0
0.0,1569400703727.0,2,1,0
0.0,1569400704196.0,2,1,0
-0.219,1569400704663.0,2,1,0
-0.532,1569400705116.0,2,1,0
-0.657,1569400705577.0,2,1,0
-1.125,1569400706047.0,2,1,0
-1.0,1569400706506.0,2,1,0
-0.6880000000000001,1569400706967.0,2,1,0
-0.313,1569400707436.0,2,1,0
-0.188,1569400707886.0,2,1,0
-0.157,1569400708347.0,2,1,0
0.0,1569400708807.0,2,1,0
0.25,1569400709267.0,1,0,0
0.531,1569400709737.0,1,0,0
0.562,1569400710196.0,1,0,0
0.562,1569400710706.0,1,0,0
0.343,1569400711117.0,1,0,0
0.062,1569400711577.0,1,0,0
0.093,1569400712037.0,1,0,0
-0.063,1569400712496.0,1,0,0
-0.063,1569400712947.0,1,0,0
-0.032,1569400713866.0,3,0,0
-0.094,1569400714325.0,3,0,0
-0.063,1569400714787.0,3,0,0
-0.188,1569400715247.0,3,0,0
-0.25,1569400715709.0,3,0,0
-0.438,1569400716177.0,3,0,0
-0.313,1569400716627.0,3,0,0
-0.313,1569400717087.0,3,0,0
-0.28200000000000003,1569400717546.0,3,0,0
0.0,1569400718007.0,3,0,0
0.031,1569400718466.0,1,0,0
0.0,1569400718917.0,1,0,0
0.0,1569400719377.0,1,0,0
0.25,1569400719847.0,1,0,0
0.718,1569400720308.0,1,0,0
0.312,1569400720767.0,1,0,0
0.562,1569400721225.0,1,0,0
0.218,1569400721677.0,1,0,0
0.187,1569400722148.0,1,0,0
0.156,1569400722597.0,1,0,0
0.156,1569400723057.0,1,0,0
0.125,1569400723516.0,1,0,0
-0.063,1569400723977.0,1,0,0
-0.157,1569400724436.0,1,0,0
-0.157,1569400724897.0,1,0,0
-0.188,1569400725367.0,2,0,0
-0.125,1569400725830.0,2,0,0
-0.063,1569400726287.0,2,0,0
-0.063,1569400726747.0,2,0,0
-0.032,1569400727207.0,2,0,0
-0.157,1569400727667.0,2,0,0
-0.219,1569400728127.0,2,0,0
-0.313,1569400728587.0,2,0,0
-0.34400000000000003,1569400729047.0,2,0,0
-0.28200000000000003,1569400729497.0,2,0,0
-0.188,1569400729957.0,1,0,0
-0.157,1569400730417.0,1,0,0
-0.063,1569400730877.0,1,0,0
-0.063,1569400731337.0,1,0,0
-0.125,1569400731808.0,1,0,0
0.0,1569400732266.0,1,0,0
0.031,1569400732716.0,1,0,0
0.062,1569400733177.0,1,0,0
0.062,1569400733636.0,1,0,0
0.062,1569400734097.0,1,0,0
0.062,1569400734557.0,1,0,0
0.062,1569400735036.0,1,0,0
-0.063,1569400735487.0,1,0,0
-0.094,1569400735937.0,1,0,0
-0.063,1569400736397.0,2,0,0
-0.063,1569400736857.0,2,0,0
-0.032,1569400737317.0,2,0,0
0.0,1569400737777.0,2,0,0
-0.25,1569400738237.0,2,0,0
-0.844,1569400738697.0,2,0,0
-1.375,1569400739157.0,2,0,0
-1.313,1569400739607.0,2,0,0
-0.719,1569400740067.0,2,0,0
-0.313,1569400740526.0,2,0,0
-0.125,1569400740987.0,2,0,0
0.0,1569400741447.0,2,0,0
0.25,1569400741907.0,1,0,0
0.312,1569400742367.0,1,0,0
0.312,1569400742837.0,5,0,0
0.312,1569400743310.0,5,0,0
0.25,1569400743757.0,5,0,0
0.125,1569400744217.0,5,0,0
0.125,1569400744677.0,5,0,0
0.156,1569400745137.0,5,0,0
0.343,1569400745597.0,5,0,0
0.375,1569400746069.0,5,0,0
0.312,1569400746527.0,5,0,0
0.218,1569400746987.0,5,0,0
0.156,1569400747447.0,5,0,0
0.0,1569400747907.0,1,0,0
-0.125,1569400748367.0,1,0,0
-0.157,1569400748817.0,2,0,0
-0.157,1569400749277.0,2,0,0
