DT_vehicleSpeed,Timestamp,Action,Bump,Traffic congestion
12.0,1569400285074.0,2,0,0
12.0,1569400285534.0,2,0,0
11.0,1569400285994.0,2,0,0
11.0,1569400286454.0,2,0,0
11.0,1569400286914.0,2,0,0
11.0,1569400287374.0,1,0,0
10.0,1569400287834.0,1,0,0
11.0,1569400288294.0,1,0,0
12.0,1569400288754.0,1,0,0
13.0,1569400289204.0,1,0,0
12.0,1569400289664.0,1,0,0
12.0,1569400290134.0,1,0,0
12.0,1569400290594.0,1,0,0
12.0,1569400291054.0,2,0,0
12.0,1569400291514.0,2,0,0
12.0,1569400291974.0,2,0,0
11.0,1569400292434.0,2,0,0
11.0,1569400292895.0,2,0,0
11.0,1569400293354.0,2,0,0
11.0,1569400293814.0,2,0,0
11.0,1569400294276.0,2,0,0
11.0,1569400294734.0,2,0,0
12.0,1569400295194.0,1,0,0
12.0,1569400295654.0,1,0,0
13.0,1569400296114.0,1,0,0
14.0,1569400296578.0,1,0,0
14.0,1569400297034.0,1,0,0
15.0,1569400297494.0,1,0,0
15.0,1569400297954.0,1,0,0
15.0,1569400298424.0,3,0,0
14.0,1569400298884.0,3,0,0
13.0,1569400299344.0,3,0,0
12.0,1569400299804.0,3,0,0
11.0,1569400300264.0,3,0,0
11.0,1569400300724.0,3,0,0
11.0,1569400301184.0,3,0,0
11.0,1569400301634.0,3,0,0
10.0,1569400302094.0,3,0,0
10.0,1569400302554.0,3,0,0
10.0,1569400303015.0,3,0,0
9.0,1569400303464.0,3,0,0
9.0,1569400303924.0,3,0,0
9.0,1569400304384.0,3,0,0
9.0,1569400304844.0,1,0,0
9.0,1569400305304.0,1,0,0
10.0,1569400305795.0,1,0,0
10.0,1569400306228.0,1,0,0
11.0,1569400306674.0,1,0,0
12.0,1569400307134.0,1,0,0
12.0,1569400307594.0,1,0,0
13.0,1569400308064.0,1,0,0
14.0,1569400308514.0,1,0,0
14.0,1569400308986.0,2,0,0
14.0,1569400309434.0,2,0,0
14.0,1569400309894.0,2,0,0
14.0,1569400310355.0,2,0,0
14.0,1569400310814.0,2,0,0
14.0,1569400311274.0,2,0,0
13.0,1569400311734.0,2,0,0
13.0,1569400312194.0,2,0,0
13.0,1569400312654.0,2,0,0
13.0,1569400313114.0,2,0,0
13.0,1569400313577.0,2,0,0
13.0,1569400314034.0,1,0,0
12.0,1569400314484.0,1,0,0
12.0,1569400314954.0,1,0,0
12.0,1569400315414.0,1,0,0
12.0,1569400315874.0,1,0,0
13.0,1569400316344.0,1,0,0
13.0,1569400316814.0,1,0,0
14.0,1569400317285.0,1,0,0
14.0,1569400317759.0,1,0,0
14.0,1569400318204.0,1,0,0
13.0,1569400318664.0,1,0,0
13.0,1569400319134.0,1,0,0
13.0,1569400319596.0,1,0,0
12.0,1569400320044.0,1,0,0
12.0,1569400320504.0,1,0,0
12.0,1569400320964.0,1,0,0
11.0,1569400321424.0,1,0,0
11.0,1569400321884.0,1,0,0
11.0,1569400322344.0,1,0,0
11.0,1569400322804.0,1,0,0
11.0,1569400323264.0,2,1,0
11.0,1569400323716.0,2,1,0
10.0,1569400324174.0,2,1,0
10.0,1569400324634.0,2,1,0
10.0,1569400325094.0,2,1,0
10.0,1569400325554.0,2,1,0
9.0,1569400326014.0,2,1,0
9.0,1569400326474.0,2,1,0
9.0,1569400326934.0,2,1,0
9.0,1569400327395.0,2,1,0
10.0,1569400327854.0,2,1,0
10.0,1569400328314.0,2,1,0
11.0,1569400328774.0,2,1,0
11.0,1569400329246.0,2,1,0
12.0,1569400329704.0,2,1,0
12.0,1569400330164.0,2,1,0
12.0,1569400330624.0,2,1,0
12.0,1569400331094.0,2,1,0
12.0,1569400331554.0,1,1,0
13.0,1569400332014.0,1,1,0
13.0,1569400332474.0,1,1,0
13.0,1569400332934.0,1,1,0
13.0,1569400333394.0,1,1,0
13.0,1569400333854.0,1,1,0
13.0,1569400334314.0,1,1,0
14.0,1569400334774.0,1,1,0
14.0,1569400335274.0,1,1,0
14.0,1569400335704.0,2,1,0
13.0,1569400336164.0,2,1,0
13.0,1569400336624.0,2,1,0
14.0,1569400337084.0,2,1,0
13.0,1569400337534.0,2,1,0
14.0,1569400338004.0,2,1,0
13.0,1569400338454.0,2,1,0
13.0,1569400338924.0,2,1,0
13.0,1569400339384.0,2,1,0
12.0,1569400339845.0,2,1,0
12.0,1569400340304.0,2,1,0
12.0,1569400340764.0,3,0,0
12.0,1569400341224.0,3,0,0
12.0,1569400341684.0,3,0,0
12.0,1569400342145.0,3,0,0
11.0,1569400342608.0,3,0,0
11.0,1569400343064.0,3,0,0
11.0,1569400343524.0,3,0,0
11.0,1569400343984.0,3,0,0
11.0,1569400344444.0,3,0,0
11.0,1569400344904.0,3,0,0
11.0,1569400345364.0,3,0,0
11.0,1569400345824.0,1,0,0
11.0,1569400346284.0,1,0,0
12.0,1569400346744.0,1,0,0
12.0,1569400347208.0,1,0,0
13.0,1569400347664.0,5,0,0
13.0,1569400348123.0,5,0,0
13.0,1569400348593.0,5,0,0
13.0,1569400349044.0,5,0,0
13.0,1569400349504.0,5,0,0
13.0,1569400349967.0,5,0,0
13.0,1569400350415.0,5,0,0
13.0,1569400350885.0,5,0,0
14.0,1569400351334.0,5,0,0
15.0,1569400351804.0,5,0,0
15.0,1569400352255.0,5,0,0
16.0,1569400352715.0,5,0,0
16.0,1569400353184.0,5,0,0
16.0,1569400353635.0,5,0,0
15.0,1569400354095.0,1,0,0
15.0,1569400354555.0,1,0,0
15.0,1569400355014.0,1,0,0
15.0,1569400355474.0,2,0,0
15.0,1569400355944.0,2,0,0
14.0,1569400356394.0,2,0,0
13.0,1569400356854.0,2,0,0
13.0,1569400357314.0,2,0,0
